"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","78.00","-2.978176593941700e-03","8.501795926122510e-01","-1.566990762745230e+00","-3.965214272037830e-01"
"-89.95","78.00","1.110580476397990e-02","8.452678924394560e-01","-1.569046711509520e+00","-3.760409707088430e-01"
"-89.90","78.00","2.510514150348770e-02","8.401513516216010e-01","-1.570837134130220e+00","-3.555464618863280e-01"
"-89.85","78.00","3.901704268763890e-02","8.348310660802450e-01","-1.572361808465740e+00","-3.350413035259610e-01"
"-89.80","78.00","5.283873014115090e-02","8.293081686024860e-01","-1.573620555628230e+00","-3.145289031585120e-01"
"-89.75","78.00","6.656743893249970e-02","8.235838286991990e-01","-1.574613240077020e+00","-2.940126725072430e-01"
"-89.70","78.00","8.020041785442780e-02","8.176592524569560e-01","-1.575339769704930e+00","-2.734960269377920e-01"
"-89.65","78.00","9.373492990285720e-02","8.115356823836321e-01","-1.575800095917710e+00","-2.529823849064100e-01"
"-89.60","78.00","1.071682527540700e-01","8.052143972477300e-01","-1.575994213706280e+00","-2.324751674067770e-01"
"-89.55","78.00","1.204976792401250e-01","7.986967119114290e-01","-1.575922161712100e+00","-2.119777974153580e-01"
"-89.50","78.00","1.337205178223960e-01","7.919839771573770e-01","-1.575584022285280e+00","-1.914936993354690e-01"
"-89.45","78.00","1.468340930631370e-01","7.850775795092541e-01","-1.574979921535700e+00","-1.710262984401640e-01"
"-89.40","78.00","1.598357460950160e-01","7.779789410461370e-01","-1.574110029376960e+00","-1.505790203139880e-01"
"-89.35","78.00","1.727228350885330e-01","7.706895192106680e-01","-1.572974559563160e+00","-1.301552902936500e-01"
"-89.30","78.00","1.854927357172140e-01","7.632108066110610e-01","-1.571573769718550e+00","-1.097585329078440e-01"
"-89.25","78.00","1.981428416205540e-01","7.555443308169790e-01","-1.569907961359930e+00","-8.939217131614011e-02"
"-89.20","78.00","2.106705648645270e-01","7.476916541493071e-01","-1.567977479911940e+00","-6.905962674721920e-02"
