"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","3.00","1.889216534359170e+00","2.389509529703320e+00","-1.342992326477910e+00","4.312814530772020e-01"
"-89.95","3.00","1.913694226566600e+00","2.372290317983450e+00","-1.335103356754180e+00","4.489243056725780e-01"
"-89.90","3.00","1.937995149477020e+00","2.354810501423920e+00","-1.326982600840610e+00","4.664591617119540e-01"
"-89.85","3.00","1.962116382780990e+00","2.337072093079800e+00","-1.318631367365140e+00","4.838830010750750e-01"
"-89.80","3.00","1.986055030679520e+00","2.319077140516850e+00","-1.310051004066630e+00","5.011928184784660e-01"
"-89.75","3.00","2.009808222311900e+00","2.300827725501620e+00","-1.301242897633480e+00","5.183856239816930e-01"
"-89.70","3.00","2.033373112179330e+00","2.282325963686110e+00","-1.292208473535580e+00","5.354584434918590e-01"
"-89.65","3.00","2.056746880564650e+00","2.263574004287030e+00","-1.282949195849800e+00","5.524083192663219e-01"
"-89.60","3.00","2.079926733947770e+00","2.244574029759520e+00","-1.273466567078880e+00","5.692323104135349e-01"
"-89.55","3.00","2.102909905417020e+00","2.225328255465610e+00","-1.263762127963720e+00","5.859274933919431e-01"
"-89.50","3.00","2.125693655076060e+00","2.205838929337330e+00","-1.253837457289280e+00","6.024909625068080e-01"
"-89.45","3.00","2.148275270446550e+00","2.186108331534610e+00","-1.243694171683880e+00","6.189198304049240e-01"
"-89.40","3.00","2.170652066866270e+00","2.166138774097990e+00","-1.233333925412110e+00","6.352112285670460e-01"
"-89.35","3.00","2.192821387882880e+00","2.145932600596140e+00","-1.222758410161240e+00","6.513623077981230e-01"
"-89.30","3.00","2.214780605642890e+00","2.125492185768460e+00","-1.211969354821270e+00","6.673702387150130e-01"
"-89.25","3.00","2.236527121276240e+00","2.104819935162470e+00","-1.200968525258530e+00","6.832322122318371e-01"
"-89.20","3.00","2.258058365275950e+00","2.083918284766480e+00","-1.189757724082970e+00","6.989454400426570e-01"
"-89.15","3.00","2.279371797873170e+00","2.062789700637160e+00","-1.178338790409040e+00","7.145071551016350e-01"
"-89.10","3.00","2.300464909407280e+00","2.041436678522420e+00","-1.166713599610380e+00","7.299146121003450e-01"
"-89.05","3.00","2.321335220691120e+00","2.019861743479570e+00","-1.154884063068150e+00","7.451650879423400e-01"
"-89.00","3.00","2.341980283371230e+00","1.998067449488650e+00","-1.142852127913110e+00","7.602558822147970e-01"
"-88.95","3.00","2.362397680283160e+00","1.976056379061240e+00","-1.130619776761600e+00","7.751843176572020e-01"
"-88.90","3.00","2.382585025801550e+00","1.953831142844690e+00","-1.118189027445190e+00","7.899477406269459e-01"
"-88.85","3.00","2.402539966185180e+00","1.931394379221810e+00","-1.105561932734340e+00","8.045435215617930e-01"
"-88.80","3.00","2.422260179916670e+00","1.908748753906300e+00","-1.092740580055890e+00","8.189690554391110e-01"
"-88.75","3.00","2.441743378037100e+00","1.885896959533560e+00","-1.079727091204480e+00","8.332217622318200e-01"
"-88.70","3.00","2.460987304475110e+00","1.862841715247440e+00","-1.066523622047960e+00","8.472990873609260e-01"
"-88.65","3.00","2.479989736370780e+00","1.839585766282730e+00","-1.053132362226840e+00","8.611985021445920e-01"
"-88.60","3.00","2.498748484393940e+00","1.816131883543440e+00","-1.039555534847790e+00","8.749175042436650e-01"
"-88.55","3.00","2.517261393057050e+00","1.792482863177090e+00","-1.025795396171200e+00","8.884536181035720e-01"
"-88.50","3.00","2.535526341022530e+00","1.768641526144940e+00","-1.011854235292930e+00","9.018043953925250e-01"
"-88.45","3.00","2.553541241404500e+00","1.744610717788360e+00","-9.977343738202450e-01","9.149674154359100e-01"
"-88.40","3.00","2.571304042064790e+00","1.720393307391330e+00","-9.834381655419701e-01","9.279402856468310e-01"
"-88.35","3.00","2.588812725903340e+00","1.695992187739140e+00","-9.689679960929140e-01","9.407206419527360e-01"
"-88.30","3.00","2.606065311142810e+00","1.671410274673440e+00","-9.543262826126629e-01","9.533061492179730e-01"
"-88.25","3.00","2.623059851607360e+00","1.646650506643650e+00","-9.395154733987000e-01","9.656945016623070e-01"
"-88.20","3.00","2.639794436995590e+00","1.621715844254850e+00","-9.245380475539960e-01","9.778834232752330e-01"
"-88.15","3.00","2.656267193147650e+00","1.596609269812160e+00","-9.093965146290500e-01","9.898706682260660e-01"
"-88.10","3.00","2.672476282306270e+00","1.571333786861780e+00","-8.940934142584590e-01","1.001654021269710e+00"
"-88.05","3.00","2.688419903371930e+00","1.545892419728740e+00","-8.786313157921170e-01","1.013231298148020e+00"
"-88.00","3.00","2.704096292151930e+00","1.520288213051360e+00","-8.630128179209600e-01","1.024600345986720e+00"
"-87.95","3.00","2.719503721603400e+00","1.494524231312610e+00","-8.472405482974750e-01","1.035759043687790e+00"
"-87.90","3.00","2.734640502070220e+00","1.468603558368410e+00","-8.313171631509459e-01","1.046705302317200e+00"
"-87.85","3.00","2.749504981513730e+00","1.442529296972920e+00","-8.152453468974500e-01","1.057437065488060e+00"
"-87.80","3.00","2.764095545737240e+00","1.416304568301010e+00","-7.990278117448140e-01","1.067952309738880e+00"
"-87.75","3.00","2.778410618604460e+00","1.389932511467790e+00","-7.826672972923600e-01","1.078249044907160e+00"
"-87.70","3.00","2.792448662251400e+00","1.363416283045460e+00","-7.661665701257500e-01","1.088325314497990e+00"
"-87.65","3.00","2.806208177292190e+00","1.336759056577580e+00","-7.495284234067841e-01","1.098179196047750e+00"
"-87.60","3.00","2.819687703018430e+00","1.309964022090680e+00","-7.327556764583580e-01","1.107808801482760e+00"
"-87.55","3.00","2.832885817592220e+00","1.283034385603440e+00","-7.158511743445500e-01","1.117212277472820e+00"
"-87.50","3.00","2.845801138232780e+00","1.255973368633410e+00","-6.988177874459340e-01","1.126387805779720e+00"
"-87.45","3.00","2.858432321396600e+00","1.228784207701540e+00","-6.816584110301990e-01","1.135333603600310e+00"
"-87.40","3.00","2.870778062951180e+00","1.201470153834350e+00","-6.643759648181090e-01","1.144047923904530e+00"
"-87.35","3.00","2.882837098342170e+00","1.174034472064100e+00","-6.469733925449110e-01","1.152529055767900e+00"
"-87.30","3.00","2.894608202754110e+00","1.146480440926760e+00","-6.294536615171960e-01","1.160775324698730e+00"
"-87.25","3.00","2.906090191264550e+00","1.118811351958130e+00","-6.118197621653250e-01","1.168785092959770e+00"
"-87.20","3.00","2.917281918991580e+00","1.091030509188030e+00","-5.940747075914981e-01","1.176556759884420e+00"
"-87.15","3.00","2.928182281234810e+00","1.063141228632800e+00","-5.762215331135110e-01","1.184088762187260e+00"
"-87.10","3.00","2.938790213609660e+00","1.035146837785840e+00","-5.582632958042421e-01","1.191379574269000e+00"
"-87.05","3.00","2.949104692175100e+00","1.007050675106940e+00","-5.402030740270400e-01","1.198427708515660e+00"
"-87.00","3.00","2.959124733554620e+00","9.788560895096450e-01","-5.220439669669350e-01","1.205231715592070e+00"
"-86.95","3.00","2.968849395050580e+00","9.505664398476200e-01","-5.037890941579291e-01","1.211790184729450e+00"
"-86.90","3.00","2.978277774751840e+00","9.221850943992700e-01","-4.854415950062220e-01","1.218101744007200e+00"
"-86.85","3.00","2.987409011634700e+00","8.937154303513930e-01","-4.670046283096690e-01","1.224165060628730e+00"
"-86.80","3.00","2.996242285657020e+00","8.651608332815540e-01","-4.484813717733790e-01","1.229978841191260e+00"
"-86.75","3.00","3.004776817845660e+00","8.365246966393980e-01","-4.298750215216130e-01","1.235541831949690e+00"
"-86.70","3.00","3.013011870377170e+00","8.078104212269440e-01","-4.111887916060270e-01","1.240852819074270e+00"
"-86.65","3.00","3.020946746651680e+00","7.790214146780460e-01","-3.924259135103450e-01","1.245910628902220e+00"
"-86.60","3.00","3.028580791359940e+00","7.501610909370090e-01","-3.735896356515400e-01","1.250714128183100e+00"
"-86.55","3.00","3.035913390543700e+00","7.212328697365590e-01","-3.546832228776410e-01","1.255262224317990e+00"
"-86.50","3.00","3.042943971649180e+00","6.922401760750340e-01","-3.357099559621070e-01","1.259553865592400e+00"
"-86.45","3.00","3.049672003573730e+00","6.631864396932250e-01","-3.166731310950710e-01","1.263588041402760e+00"
"-86.40","3.00","3.056096996705790e+00","6.340750945506530e-01","-2.975760593712970e-01","1.267363782476650e+00"
"-86.35","3.00","3.062218502957860e+00","6.049095783015890e-01","-2.784220662751350e-01","1.270880161086550e+00"
"-86.30","3.00","3.068036115792780e+00","5.756933317707180e-01","-2.592144911624100e-01","1.274136291257130e+00"
"-86.25","3.00","3.073549470243140e+00","5.464297984286970e-01","-2.399566867393900e-01","1.277131328966090e+00"
"-86.20","3.00","3.078758242923830e+00","5.171224238676140e-01","-2.206520185389120e-01","1.279864472338360e+00"
"-86.15","3.00","3.083662152037810e+00","4.877746552765210e-01","-2.013038643937740e-01","1.282334961833780e+00"
"-86.10","3.00","3.088260957375050e+00","4.583899409169310e-01","-1.819156139073810e-01","1.284542080428200e+00"
"-86.05","3.00","3.092554460304640e+00","4.289717295986940e-01","-1.624906679218810e-01","1.286485153787800e+00"
"-86.00","3.00","3.096542503760040e+00","3.995234701560000e-01","-1.430324379837120e-01","1.288163550436810e+00"
"-85.95","3.00","3.100224972217620e+00","3.700486109238860e-01","-1.235443458067790e-01","1.289576681918480e+00"
"-85.90","3.00","3.103601791668290e+00","3.405505992151020e-01","-1.040298227332730e-01","1.290724002949220e+00"
"-85.85","3.00","3.106672929582400e+00","3.110328807976060e-01","-8.449230919223040e-02","1.291605011566040e+00"
"-85.80","3.00","3.109438394867810e+00","2.814988993727440e-01","-6.493525415597400e-02","1.292219249267060e+00"
"-85.75","3.00","3.111898237821240e+00","2.519520960540650e-01","-4.536211459440680e-02","1.292566301145260e+00"
"-85.70","3.00","3.114052550072760e+00","2.223959088470270e-01","-2.577635492736320e-02","1.292645796015170e+00"
"-85.65","3.00","3.115901464523660e+00","1.928337721296410e-01","-6.181446475058300e-03","1.292457406532850e+00"
"-85.60","3.00","3.117445155277410e+00","1.632691161340840e-01","1.341913309328750e-02","1.292000849308750e+00"
"-85.55","3.00","3.118683837564080e+00","1.337053664295070e-01","3.302190031251650e-02","1.291275885013670e+00"
"-85.50","3.00","3.119617767657910e+00","1.041459434058570e-01","5.262336647630200e-02","1.290282318477710e+00"
"-85.45","3.00","3.120247242788250e+00","7.459426175914560e-02","7.222003819338020e-02","1.289019998782130e+00"
"-85.40","3.00","3.120572601043860e+00","4.505372997801850e-02","9.180841794527340e-02","1.287488819344310e+00"
"-85.35","3.00","3.120594221270490e+00","1.552774983176940e-02","1.113850046453890e-01","1.285688717995460e+00"
"-85.30","3.00","3.120312522961860e+00","-1.398028414001530e-02","1.309462941993280e-01","1.283619677051360e+00"
"-85.25","3.00","3.119727966144080e+00","-4.346698513634940e-02","1.504887800664590e-01","1.281281723375920e+00"
"-85.20","3.00","3.118841051253400e+00","-7.292897460183960e-02","1.700089538225280e-01","1.278674928437680e+00"
"-85.15","3.00","3.117652319007490e+00","-1.023628827319320e-01","1.895033057232370e-01","1.275799408359090e+00"
"-85.10","3.00","3.116162350270130e+00","-1.317653489763310e-01","2.089683252688130e-01","1.272655323958680e+00"
"-85.05","3.00","3.114371765909400e+00","-1.611330225403110e-01","2.284005017692830e-01","1.269242880786000e+00"
"-85.00","3.00","3.112281226649460e+00","-1.904625628840780e-01","2.477963249105700e-01","1.265562329149460e+00"
"-84.95","3.00","3.109891432915770e+00","-2.197506402198950e-01","2.671522853211460e-01","1.261613964136860e+00"
"-84.90","3.00","3.107203124674010e+00","-2.489939360069690e-01","2.864648751392250e-01","1.257398125628760e+00"
"-84.85","3.00","3.104217081262530e+00","-2.781891434441060e-01","3.057305885804430e-01","1.252915198304650e+00"
"-84.80","3.00","3.100934121218540e+00","-3.073329679598120e-01","3.249459225058210e-01","1.248165611641860e+00"
"-84.75","3.00","3.097355102097880e+00","-3.364221277000420e-01","3.441073769900470e-01","1.243149839907190e+00"
"-84.70","3.00","3.093480920288580e+00","-3.654533540132210e-01","3.632114558898420e-01","1.237868402141400e+00"
"-84.65","3.00","3.089312510818170e+00","-3.944233919327890e-01","3.822546674124800e-01","1.232321862136330e+00"
"-84.60","3.00","3.084850847154760e+00","-4.233290006568410e-01","4.012335246842110e-01","1.226510828404870e+00"
"-84.55","3.00","3.080096941002010e+00","-4.521669540249960e-01","4.201445463185880e-01","1.220435954143580e+00"
"-84.50","3.00","3.075051842087850e+00","-4.809340409923750e-01","4.389842569845850e-01","1.214097937188170e+00"
"-84.45","3.00","3.069716637947300e+00","-5.096270661006220e-01","4.577491879743990e-01","1.207497519961580e+00"
"-84.40","3.00","3.064092453699040e+00","-5.382428499457540e-01","4.764358777708520e-01","1.200635489414930e+00"
"-84.35","3.00","3.058180451816180e+00","-5.667782296429910e-01","4.950408726143000e-01","1.193512676961140e+00"
"-84.30","3.00","3.051981831890900e+00","-5.952300592881919e-01","5.135607270689180e-01","1.186129958401370e+00"
"-84.25","3.00","3.045497830393320e+00","-6.235952104162270e-01","5.319920045883700e-01","1.178488253844110e+00"
"-84.20","3.00","3.038729720424380e+00","-6.518705724557190e-01","5.503312780806330e-01","1.170588527617150e+00"
"-84.15","3.00","3.031678811463030e+00","-6.800530531804960e-01","5.685751304719900e-01","1.162431788172230e+00"
"-84.10","3.00","3.024346449107570e+00","-7.081395791573910e-01","5.867201552700320e-01","1.154019087982550e+00"
"-84.05","3.00","3.016734014811250e+00","-7.361270961905270e-01","6.047629571256010e-01","1.145351523432980e+00"
"-84.00","3.00","3.008842925612310e+00","-7.640125697618650e-01","6.227001523936240e-01","1.136430234703140e+00"
