"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","61.00","1.826408115086560e-01","1.396729726612200e+00","-1.613295078582090e+00","-1.621060054880190e-01"
"-89.95","61.00","2.012798833076110e-01","1.392089690081140e+00","-1.613656688860640e+00","-1.410061369946580e-01"
"-89.90","61.00","2.198522971421090e-01","1.387207768156210e+00","-1.613745444750030e+00","-1.199037742940390e-01"
"-89.85","61.00","2.383549627964160e-01","1.382084762564780e+00","-1.613561186979140e+00","-9.880239822404870e-02"
"-89.80","61.00","2.567847988533240e-01","1.376721514345460e+00","-1.613103800269890e+00","-7.770549433982260e-02"
"-89.75","61.00","2.751387331966570e-01","1.371118903757700e+00","-1.612373213438130e+00","-5.661655235952920e-02"
"-89.70","61.00","2.934137035128210e-01","1.365277850184980e+00","-1.611369399487570e+00","-3.553906560841420e-02"
"-89.65","61.00","3.116066577914690e-01","1.359199312031390e+00","-1.610092375696730e+00","-1.447653046100920e-02"
"-89.60","61.00","3.297145548250860e-01","1.352884286611820e+00","-1.608542203698770e+00","6.567554218278200e-03"
"-89.55","61.00","3.477343647074980e-01","1.346333810035640e+00","-1.606718989554270e+00","2.758968763620630e-02"
"-89.50","61.00","3.656630693311680e-01","1.339548957083920e+00","-1.604622883816840e+00","4.858636763321470e-02"
"-89.45","61.00","3.834976628831840e-01","1.332530841080250e+00","-1.602254081591640e+00","6.955409124732290e-02"
"-89.40","61.00","4.012351523398800e-01","1.325280613755020e+00","-1.599612822586730e+00","9.048935527933680e-02"
"-89.35","61.00","4.188725579600330e-01","1.317799465103430e+00","-1.596699391157180e+00","1.113886568593240e-01"
"-89.30","61.00","4.364069137764500e-01","1.310088623236920e+00","-1.593514116342000e+00","1.322484940141300e-01"
"-89.25","61.00","4.538352680860210e-01","1.302149354228360e+00","-1.590057371893810e+00","1.530653662360190e-01"
"-89.20","61.00","4.711546839379410e-01","1.293982961950830e+00","-1.586329576301300e+00","1.738357750521430e-01"
"-89.15","61.00","4.883622396202690e-01","1.285590787909940e+00","-1.582331192804320e+00","1.945562245949920e-01"
"-89.10","61.00","5.054550291445060e-01","1.276974211069970e+00","-1.578062729401750e+00","2.152232221734720e-01"
"-89.05","61.00","5.224301627282411e-01","1.268134647673630e+00","-1.573524738852050e+00","2.358332788447020e-01"
"-89.00","61.00","5.392847672757660e-01","1.259073551055500e+00","-1.568717818666430e+00","2.563829099863630e-01"
"-88.95","61.00","5.560159868565520e-01","1.249792411449220e+00","-1.563642611094730e+00","2.768686358695230e-01"
