"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","56.00","2.582462834302490e-01","1.537027068087230e+00","-1.635202491458150e+00","-6.389007929137459e-02"
"-89.95","56.00","2.780281227558410e-01","1.532066860702730e+00","-1.634699064363030e+00","-4.251482028465880e-02"
"-89.90","56.00","2.977429251936950e-01","1.526855669957680e+00","-1.633919458045470e+00","-2.114502047341960e-02"
"-89.85","56.00","3.173875279152610e-01","1.521394285312620e+00","-1.632863588897700e+00","2.158000291186000e-04"
"-89.80","56.00","3.369587766820310e-01","1.515683536140800e+00","-1.631531417766980e+00","2.156411712944890e-02"
"-89.75","56.00","3.564535263534180e-01","1.509724291640450e+00","-1.629922950049260e+00","4.289640331345820e-02"
"-89.70","56.00","3.758686413937010e-01","1.503517460740580e+00","-1.628038235775820e+00","6.420912820779100e-02"
"-89.65","56.00","3.952009963781240e-01","1.497063992000130e+00","-1.625877369692810e+00","8.549875914296590e-02"
"-89.60","56.00","4.144474764979450e-01","1.490364873500670e+00","-1.623440491333630e+00","1.067617617180380e-01"
"-89.55","56.00","4.336049780644550e-01","1.483421132732570e+00","-1.620727785084230e+00","1.279946003668210e-01"
"-89.50","56.00","4.526704090117900e-01","1.476233836474600e+00","-1.617739480241120e+00","1.491937389255110e-01"
"-89.45","56.00","4.716406893984970e-01","1.468804090667050e+00","-1.614475851062280e+00","1.703556412016190e-01"
"-89.40","56.00","4.905127519077430e-01","1.461133040278440e+00","-1.610937216810760e+00","1.914767715441340e-01"
"-89.35","56.00","5.092835423461340e-01","1.453221869165590e+00","-1.607123941791110e+00","2.125535954148820e-01"
"-89.30","56.00","5.279500201409640e-01","1.445071799927430e+00","-1.603036435378420e+00","2.335825799608320e-01"
"-89.25","56.00","5.465091588359480e-01","1.436684093752130e+00","-1.598675152040200e+00","2.545601945874860e-01"
"-89.20","56.00","5.649579465851510e-01","1.428060050258050e+00","-1.594040591350770e+00","2.754829115329670e-01"
"-89.15","56.00","5.832933866452990e-01","1.419201007328080e+00","-1.589133297998520e+00","2.963472064430640e-01"
"-89.10","56.00","6.015124978661150e-01","1.410108340937660e+00","-1.583953861785620e+00","3.171495589467810e-01"
"-89.05","56.00","6.196123151787600e-01","1.400783464976470e+00","-1.578502917620470e+00","3.378864532325420e-01"
"-89.00","56.00","6.375898900822720e-01","1.391227831063740e+00","-1.572781145502780e+00","3.585543786248670e-01"
"-88.95","56.00","6.554422911278810e-01","1.381442928357160e+00","-1.566789270501150e+00","3.791498301614530e-01"
"-88.90","56.00","6.731666044011350e-01","1.371430283355620e+00","-1.560528062723340e+00","3.996693091704870e-01"
"-88.85","56.00","6.907599340017579e-01","1.361191459695580e+00","-1.553998337279070e+00","4.201093238482300e-01"
"-88.80","56.00","7.082194025211280e-01","1.350728057941190e+00","-1.547200954235390e+00","4.404663898365950e-01"
"-88.75","56.00","7.255421515173770e-01","1.340041715368260e+00","-1.540136818564600e+00","4.607370308008590e-01"
"-88.70","56.00","7.427253419879130e-01","1.329134105741930e+00","-1.532806880084770e+00","4.809177790071730e-01"
"-88.65","56.00","7.597661548393539e-01","1.318006939088240e+00","-1.525212133392730e+00","5.010051758999250e-01"
"-88.60","56.00","7.766617913547830e-01","1.306661961459560e+00","-1.517353617789630e+00","5.209957726787880e-01"
"-88.55","56.00","7.934094736582310e-01","1.295100954693920e+00","-1.509232417199130e+00","5.408861308754100e-01"
"-88.50","56.00","8.100064451763310e-01","1.283325736168200e+00","-1.500849660077910e+00","5.606728229296130e-01"
"-88.45","56.00","8.264499710970160e-01","1.271338158545380e+00","-1.492206519318940e+00","5.803524327650070e-01"
"-88.40","56.00","8.427373388252060e-01","1.259140109515710e+00","-1.483304212147150e+00","5.999215563638850e-01"
"-88.35","56.00","8.588658584354510e-01","1.246733511531980e+00","-1.474144000007680e+00","6.193768023414320e-01"
"-88.30","56.00","8.748328631213390e-01","1.234120321538810e+00","-1.464727188446630e+00","6.387147925189520e-01"
"-88.25","56.00","8.906357096417270e-01","1.221302530696050e+00","-1.455055126984400e+00","6.579321624962220e-01"
"-88.20","56.00","9.062717787635790e-01","1.208282164096350e+00","-1.445129208981570e+00","6.770255622226840e-01"
"-88.15","56.00","9.217384757014569e-01","1.195061280476940e+00","-1.434950871497280e+00","6.959916565675490e-01"
"-88.10","56.00","9.370332305534980e-01","1.181641971925560e+00","-1.424521595140250e+00","7.148271258885880e-01"
"-88.05","56.00","9.521534987338170e-01","1.168026363580770e+00","-1.413842903912310e+00","7.335286665995350e-01"
"-88.00","56.00","9.670967614013301e-01","1.154216613326480e+00","-1.402916365044540e+00","7.520929917361080e-01"
"-87.95","56.00","9.818605258848220e-01","1.140214911480900e+00","-1.391743588826010e+00","7.705168315204040e-01"
"-87.90","56.00","9.964423261042310e-01","1.126023480479870e+00","-1.380326228425080e+00","7.887969339236530e-01"
"-87.85","56.00","1.010839722988090e+00","1.111644574554640e+00","-1.368665979703400e+00","8.069300652272290e-01"
"-87.80","56.00","1.025050304887000e+00","1.097080479404210e+00","-1.356764581022490e+00","8.249130105817630e-01"
"-87.75","56.00","1.039071687983150e+00","1.082333511862120e+00","-1.344623813042980e+00","8.427425745643879e-01"
