"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","70.00","7.585173374251880e-02","1.121726533657000e+00","-1.582939894588530e+00","-3.123214755265230e-01"
"-89.95","70.00","9.221927029228980e-02","1.117148255267340e+00","-1.584474117871970e+00","-2.916161262297400e-01"
"-89.90","70.00","1.085136710692950e-01","1.112346386498030e+00","-1.585740161081520e+00","-2.708991109050370e-01"
"-89.85","70.00","1.247319922913830e-01","1.107321844546440e+00","-1.586737796125950e+00","-2.501738587138330e-01"
"-89.80","70.00","1.408713005542500e-01","1.102075584730970e+00","-1.587466838368350e+00","-2.294438039794710e-01"
"-89.75","70.00","1.569286733239620e-01","1.096608600380180e+00","-1.587927146728530e+00","-2.087123856382390e-01"
"-89.70","70.00","1.729011994282670e-01","1.090921922715550e+00","-1.588118623778410e+00","-1.879830466886520e-01"
"-89.65","70.00","1.887859795467280e-01","1.085016620727800e+00","-1.588041215830410e+00","-1.672592336389510e-01"
"-89.60","70.00","2.045801266995350e-01","1.078893801046770e+00","-1.587694913018940e+00","-1.465443959529920e-01"
"-89.55","70.00","2.202807667349560e-01","1.072554607805090e+00","-1.587079749374680e+00","-1.258419854945370e-01"
"-89.50","70.00","2.358850388153030e-01","1.066000222495290e+00","-1.586195802891970e+00","-1.051554559701030e-01"
"-89.45","70.00","2.513900959013440e-01","1.059231863820720e+00","-1.585043195588940e+00","-8.448826237044360e-02"
"-89.40","70.00","2.667931052350620e-01","1.052250787540060e+00","-1.583622093560630e+00","-6.384386041074699e-02"
"-89.35","70.00","2.820912488207410e-01","1.045058286305570e+00","-1.581932707024930e+00","-4.322570596961360e-02"
"-89.30","70.00","2.972817239041800e-01","1.037655689495040e+00","-1.579975290361370e+00","-2.263725452697980e-02"
"-89.25","70.00","3.123617434500880e-01","1.030044363037410e+00","-1.577750142142680e+00","-2.081960600977300e-03"
"-89.20","70.00","3.273285366174260e-01","1.022225709232230e+00","-1.575257605159210e+00","1.843672281603760e-02"
"-89.15","70.00","3.421793492327870e-01","1.014201166562850e+00","-1.572498066436040e+00","3.891534482239310e-02"
"-89.10","70.00","3.569114442615710e-01","1.005972209503400e+00","-1.569471957242990e+00","5.935045717262930e-02"
"-89.05","70.00","3.715221022769490e-01","9.975403483196100e-01","-1.566179753097160e+00","7.973861484372170e-02"
"-89.00","70.00","3.860086219265490e-01","9.889071288634580e-01","-1.562621973758450e+00","1.000763766018180e-01"
"-88.95","70.00","4.003683203967520e-01","9.800741323617080e-01","-1.558799183217540e+00","1.203603055694570e-01"
"-88.90","70.00","4.145985338745040e-01","9.710429751983430e-01","-1.554711989676780e+00","1.405869697930980e-01"
"-88.85","70.00","4.286966180066100e-01","9.618153086909230e-01","-1.550361045523630e+00","1.607529428109360e-01"
"-88.80","70.00","4.426599483563440e-01","9.523928188609150e-01","-1.545747047296870e+00","1.808548042208260e-01"
"-88.75","70.00","4.564859208574510e-01","9.427772261980040e-01","-1.540870735645420e+00","2.008891402483900e-01"
"-88.70","70.00","4.701719522652570e-01","9.329702854184220e-01","-1.535732895279850e+00","2.208525443149650e-01"
"-88.65","70.00","4.837154806049730e-01","9.229737852173560e-01","-1.530334354916540e+00","2.407416176055060e-01"
"-88.60","70.00","4.971139656170330e-01","9.127895480154180e-01","-1.524675987214520e+00","2.605529696362390e-01"
"-88.55","70.00","5.103648891993940e-01","9.024194296992830e-01","-1.518758708704900e+00","2.802832188220000e-01"
"-88.50","70.00","5.234657558467750e-01","8.918653193564240e-01","-1.512583479713010e+00","2.999289930431950e-01"
"-88.45","70.00","5.364140930866580e-01","8.811291390041160e-01","-1.506151304273150e+00","3.194869302122010e-01"
"-88.40","70.00","5.492074519120580e-01","8.702128433126490e-01","-1.499463230035980e+00","3.389536788391820e-01"
"-88.35","70.00","5.618434072109660e-01","8.591184193228000e-01","-1.492520348168590e+00","3.583258985972370e-01"
"-88.30","70.00","5.743195581923470e-01","8.478478861576760e-01","-1.485323793247180e+00","3.776002608866970e-01"
"-88.25","70.00","5.866335288086800e-01","8.364032947288570e-01","-1.477874743142420e+00","3.967734493985730e-01"
"-88.20","70.00","5.987829681749079e-01","8.247867274370010e-01","-1.470174418897470e+00","4.158421606769740e-01"
"-88.15","70.00","6.107655509837630e-01","8.130002978668450e-01","-1.462224084598640e+00","4.348031046804890e-01"
"-88.10","70.00","6.225789779173800e-01","8.010461504767450e-01","-1.454025047238730e+00","4.536530053423440e-01"
"-88.05","70.00","6.342209760550810e-01","7.889264602827309e-01","-1.445578656573130e+00","4.723886011292740e-01"
"-88.00","70.00","6.456892992773650e-01","7.766434325371410e-01","-1.436886304968430e+00","4.910066455990610e-01"
"-87.95","70.00","6.569817286659060e-01","7.641993024019000e-01","-1.427949427243960e+00","5.095039079565770e-01"
"-87.90","70.00","6.680960728995740e-01","7.515963346164860e-01","-1.418769500505860e+00","5.278771736082520e-01"
"-87.85","70.00","6.790301686463590e-01","7.388368231606181e-01","-1.409348043973990e+00","5.461232447148840e-01"
"-87.80","70.00","6.897818809511490e-01","7.259230909117420e-01","-1.399686618801580e+00","5.642389407426650e-01"
"-87.75","70.00","7.003491036193080e-01","7.128574892973250e-01","-1.389786827887540e+00","5.822210990124140e-01"
"-87.70","70.00","7.107297595959460e-01","6.996423979420620e-01","-1.379650315681720e+00","6.000665752467900e-01"
"-87.65","70.00","7.209218013408220e-01","6.862802243100190e-01","-1.369278767982830e+00","6.177722441154840e-01"
"-87.60","70.00","7.309232111988370e-01","6.727734033417690e-01","-1.358673911729250e+00","6.353349997782630e-01"
"-87.55","70.00","7.407320017660340e-01","6.591243970865770e-01","-1.347837514782670e+00","6.527517564257770e-01"
"-87.50","70.00","7.503462162510240e-01","6.453356943297049e-01","-1.336771385704600e+00","6.700194488180490e-01"
"-87.45","70.00","7.597639288317940e-01","6.314098102148630e-01","-1.325477373525740e+00","6.871350328204920e-01"
"-87.40","70.00","7.689832450078210e-01","6.173492858619050e-01","-1.313957367508350e+00","7.040954859374480e-01"
"-87.35","70.00","7.780023019474230e-01","6.031566879798020e-01","-1.302213296901460e+00","7.208978078430700e-01"
"-87.30","70.00","7.868192688302960e-01","5.888346084749660e-01","-1.290247130689150e+00","7.375390209095301e-01"
"-87.25","70.00","7.954323471851670e-01","5.743856640549460e-01","-1.278060877331750e+00","7.540161707323950e-01"
"-87.20","70.00","8.038397712224991e-01","5.598124958276320e-01","-1.265656584500130e+00","7.703263266531180e-01"
"-87.15","70.00","8.120398081621810e-01","5.451177688959750e-01","-1.253036338803040e+00","7.864665822784980e-01"
"-87.10","70.00","8.200307585561650e-01","5.303041719482881e-01","-1.240202265507530e+00","8.024340559971400e-01"
"-87.05","70.00","8.278109566059491e-01","5.153744168442240e-01","-1.227156528252570e+00","8.182258914926260e-01"
"-87.00","70.00","8.353787704749210e-01","5.003312381964470e-01","-1.213901328755720e+00","8.338392582535280e-01"
"-86.95","70.00","8.427326025953890e-01","4.851773929481490e-01","-1.200438906513140e+00","8.492713520799510e-01"
"-86.90","70.00","8.498708899703690e-01","4.699156599463470e-01","-1.186771538492760e+00","8.645193955867300e-01"
"-86.85","70.00","8.567921044699880e-01","4.545488395111530e-01","-1.172901538820740e+00","8.795806387030060e-01"
"-86.80","70.00","8.634947531224620e-01","4.390797530010530e-01","-1.158831258461350e+00","8.944523591681920e-01"
"-86.75","70.00","8.699773783996290e-01","4.235112423741810e-01","-1.144563084890040e+00","9.091318630242290e-01"
"-86.70","70.00","8.762385584969440e-01","4.078461697457930e-01","-1.130099441760130e+00","9.236164851040261e-01"
"-86.65","70.00","8.822769076078990e-01","3.920874169418970e-01","-1.115442788562780e+00","9.379035895159800e-01"
"-86.60","70.00","8.880910761928200e-01","3.762378850491680e-01","-1.100595620280550e+00","9.519905701245340e-01"
"-86.55","70.00","8.936797512419730e-01","3.603004939612550e-01","-1.085560467034540e+00","9.658748510266160e-01"
"-86.50","70.00","8.990416565329650e-01","3.442781819214120e-01","-1.070339893725040e+00","9.795538870239801e-01"
"-86.45","70.00","9.041755528823460e-01","3.281739050617040e-01","-1.054936499665860e+00","9.930251640912350e-01"
"-86.40","70.00","9.090802383913890e-01","3.119906369387420e-01","-1.039352918212400e+00","1.006286199839570e+00"
"-86.35","70.00","9.137545486860030e-01","2.957313680660760e-01","-1.023591816383400e+00","1.019334543976020e+00"
"-86.30","70.00","9.181973571507190e-01","2.793991054433010e-01","-1.007655894476590e+00","1.032167778758300e+00"
"-86.25","70.00","9.224075751567270e-01","2.629968720819260e-01","-9.915478856780300e-01","1.044783519444970e+00"
"-86.20","70.00","9.263841522838810e-01","2.465277065281650e-01","-9.752705556655590e-01","1.057179414740940e+00"
"-86.15","70.00","9.301260765366710e-01","2.299946623826430e-01","-9.588267022060620e-01","1.069353147238280e+00"
"-86.10","70.00","9.336323745540960e-01","2.134008078171310e-01","-9.422191547468360e-01","1.081302433852100e+00"
"-86.05","70.00","9.369021118133970e-01","1.967492250883980e-01","-9.254507740010270e-01","1.093025026251580e+00"
"-86.00","70.00","9.399343928276270e-01","1.800430100492200e-01","-9.085244515271690e-01","1.104518711285960e+00"
"-85.95","70.00","9.427283613369900e-01","1.632852716566930e-01","-8.914431093030050e-01","1.115781311405470e+00"
"-85.90","70.00","9.452832004939450e-01","1.464791314778430e-01","-8.742096992934950e-01","1.126810685077080e+00"
"-85.85","70.00","9.475981330420120e-01","1.296277231926980e-01","-8.568272030131970e-01","1.137604727195040e+00"
"-85.80","70.00","9.496724214882540e-01","1.127341920948650e-01","-8.392986310830570e-01","1.148161369486040e+00"
"-85.75","70.00","9.515053682694060e-01","9.580169458965590e-02","-8.216270227816020e-01","1.158478580909080e+00"
"-85.70","70.00","9.530963159116020e-01","7.883339768992070e-02","-8.038154455906910e-01","1.168554368049780e+00"
"-85.65","70.00","9.544446471836810e-01","6.183247850962490e-02","-7.858669947358740e-01","1.178386775509170e+00"
"-85.60","70.00","9.555497852440420e-01","4.480212375525670e-02","-7.677847927213680e-01","1.187973886286910e+00"
"-85.55","70.00","9.564111937809990e-01","2.774552921518240e-02","-7.495719888598320e-01","1.197313822158690e+00"
"-85.50","70.00","9.570283771466270e-01","1.066589924694270e-02","-7.312317587968380e-01","1.206404744048070e+00"
"-85.45","70.00","9.574008804840700e-01","-6.433553737292400e-03","-7.127673040303210e-01","1.215244852392260e+00"
"-85.40","70.00","9.575282898482610e-01","-2.354960978713170e-02","-6.941818514249010e-01","1.223832387502160e+00"
"-85.35","70.00","9.574102323200609e-01","-4.067904193211480e-02","-6.754786527212460e-01","1.232165629916310e+00"
"-85.30","70.00","9.570463761137600e-01","-5.781861670147100e-02","-6.566609840405671e-01","1.240242900748880e+00"
"-85.25","70.00","9.564364306779490e-01","-7.496509464553670e-02","-6.377321453841810e-01","1.248062562031500e+00"
"-85.20","70.00","9.555801467897110e-01","-9.211523085856770e-02","-6.186954601284140e-01","1.255623017048900e+00"
"-85.15","70.00","9.544773166421210e-01","-1.092657755029870e-01","-5.995542745147840e-01","1.262922710668330e+00"
"-85.10","70.00","9.531277739250500e-01","-1.264134743349510e-01","-5.803119571355710e-01","1.269960129662650e+00"
"-85.05","70.00","9.515313938992260e-01","-1.435550692310890e-01","-5.609718984149210e-01","1.276733803027050e+00"
"-85.00","70.00","9.496880934635610e-01","-1.606872987164520e-01","-5.415375100854060e-01","1.283242302289320e+00"
"-84.95","70.00","9.475978312156870e-01","-1.778068984934370e-01","-5.220122246603310e-01","1.289484241813610e+00"
"-84.90","70.00","9.452606075057640e-01","-1.949106019716970e-01","-5.023994949017060e-01","1.295458279097700e+00"
"-84.85","70.00","9.426764644834340e-01","-2.119951407989300e-01","-4.827027932840110e-01","1.301163115063490e+00"
"-84.80","70.00","9.398454861380200e-01","-2.290572453924250e-01","-4.629256114538910e-01","1.306597494341000e+00"
"-84.75","70.00","9.367677983318700e-01","-2.460936454713330e-01","-4.430714596857650e-01","1.311760205545470e+00"
"-84.70","70.00","9.334435688269010e-01","-2.631010705894890e-01","-4.231438663335690e-01","1.316650081547740e+00"
"-84.65","70.00","9.298730073042750e-01","-2.800762506688150e-01","-4.031463772785420e-01","1.321265999737760e+00"
"-84.60","70.00","9.260563653772520e-01","-2.970159165330880e-01","-3.830825553733120e-01","1.325606882281240e+00"
"-84.55","70.00","9.219939365971780e-01","-3.139168004420740e-01","-3.629559798823040e-01","1.329671696369200e+00"
"-84.50","70.00","9.176860564526090e-01","-3.307756366258990e-01","-3.427702459184820e-01","1.333459454460670e+00"
"-84.45","70.00","9.131331023615820e-01","-3.475891618195810e-01","-3.225289638766580e-01","1.336969214518250e+00"
"-84.40","70.00","9.083354936570009e-01","-3.643541157976260e-01","-3.022357588633330e-01","1.340200080236510e+00"
"-84.35","70.00","9.032936915651530e-01","-3.810672419086040e-01","-2.818942701232370e-01","1.343151201263330e+00"
"-84.30","70.00","8.980081991773869e-01","-3.977252876095810e-01","-2.615081504626570e-01","1.345821773413920e+00"
"-84.25","70.00","8.924795614148490e-01","-4.143250050004090e-01","-2.410810656695380e-01","1.348211038877680e+00"
"-84.20","70.00","8.867083649864190e-01","-4.308631513576780e-01","-2.206166939306150e-01","1.350318286417670e+00"
"-84.15","70.00","8.806952383397260e-01","-4.473364896682890e-01","-2.001187252455500e-01","1.352142851562790e+00"
"-84.10","70.00","8.744408516053350e-01","-4.637417891625680e-01","-1.795908608382260e-01","1.353684116792550e+00"
"-84.05","70.00","8.679459165340400e-01","-4.800758258467990e-01","-1.590368125652360e-01","1.354941511714380e+00"
"-84.00","70.00","8.612111864273230e-01","-4.963353830351430e-01","-1.384603023217160e-01","1.355914513233520e+00"
"-83.95","70.00","8.542374560609570e-01","-5.125172518807700e-01","-1.178650614446030e-01","1.356602645715370e+00"
"-83.90","70.00","8.470255616017710e-01","-5.286182319061840e-01","-9.725483011341041e-02","1.357005481140240e+00"
"-83.85","70.00","8.395763805175830e-01","-5.446351315326300e-01","-7.663335674859149e-02","1.357122639250620e+00"
"-83.80","70.00","8.318908314803229e-01","-5.605647686084650e-01","-5.600439740766170e-02","1.356953787690730e+00"
"-83.75","70.00","8.239698742623200e-01","-5.764039709364750e-01","-3.537171517905360e-02","1.356498642138450e+00"
"-83.70","70.00","8.158145096258410e-01","-5.921495767999601e-01","-1.473907957397290e-02","1.355756966429550e+00"
"-83.65","70.00","8.074257792057969e-01","-6.077984354875610e-01","5.889734083840400e-03","1.354728572674220e+00"
"-83.60","70.00","7.988047653857240e-01","-6.233474078167290e-01","2.651094527016540e-02","1.353413321365810e+00"
"-83.55","70.00","7.899525911670050e-01","-6.387933666556970e-01","4.712076887417640e-02","1.351811121481840e+00"
