"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","14.00","1.533453569068080e+00","2.342756246871540e+00","-1.579553132483880e+00","4.682114711391170e-01"
"-89.95","14.00","1.558613515918830e+00","2.327721322167620e+00","-1.571873190554940e+00","4.888086533459140e-01"
"-89.90","14.00","1.583612755417970e+00","2.312406610976920e+00","-1.563925164582160e+00","5.093068904051939e-01"
"-89.85","14.00","1.608448047014110e+00","2.296813955949300e+00","-1.555710180254250e+00","5.297027217848300e-01"
"-89.80","14.00","1.633116172247340e+00","2.280945238808150e+00","-1.547229407680900e+00","5.499926986844590e-01"
"-89.75","14.00","1.657613935237850e+00","2.264802380078450e+00","-1.538484061280380e+00","5.701733846057210e-01"
"-89.70","14.00","1.681938163171010e+00","2.248387338808660e+00","-1.529475399659780e+00","5.902413559214480e-01"
"-89.65","14.00","1.706085706779060e+00","2.231702112286210e+00","-1.520204725487870e+00","6.101932024438250e-01"
"-89.60","14.00","1.730053440819150e+00","2.214748735746870e+00","-1.510673385360660e+00","6.300255279914090e-01"
"-89.55","14.00","1.753838264547790e+00","2.197529282077900e+00","-1.500882769659590e+00","6.497349509548830e-01"
"-89.50","14.00","1.777437102191530e+00","2.180045861515050e+00","-1.490834312402380e+00","6.693181048615220e-01"
"-89.45","14.00","1.800846903413840e+00","2.162300621333590e+00","-1.480529491086610e+00","6.887716389381530e-01"
"-89.40","14.00","1.824064643778080e+00","2.144295745533180e+00","-1.469969826525920e+00","7.080922186726100e-01"
"-89.35","14.00","1.847087325206470e+00","2.126033454516840e+00","-1.459156882678980e+00","7.272765263735860e-01"
"-89.30","14.00","1.869911976435070e+00","2.107516004764010e+00","-1.448092266471170e+00","7.463212617287041e-01"
"-89.25","14.00","1.892535653464560e+00","2.088745688497620e+00","-1.436777627608980e+00","7.652231423608420e-01"
"-89.20","14.00","1.914955440006790e+00","2.069724833345530e+00","-1.425214658387180e+00","7.839789043824320e-01"
"-89.15","14.00","1.937168447927160e+00","2.050455801995960e+00","-1.413405093488770e+00","8.025853029478920e-01"
"-89.10","14.00","1.959171817682470e+00","2.030940991847430e+00","-1.401350709777740e+00","8.210391128038270e-01"
"-89.05","14.00","1.980962718754440e+00","2.011182834652930e+00","-1.389053326084620e+00","8.393371288370730e-01"
"-89.00","14.00","2.002538350078630e+00","1.991183796158530e+00","-1.376514802984850e+00","8.574761666204620e-01"
"-88.95","14.00","2.023895940468870e+00","1.970946375736380e+00","-1.363737042570110e+00","8.754530629561820e-01"
"-88.90","14.00","2.045032749036920e+00","1.950473106012320e+00","-1.350721988212450e+00","8.932646764166420e-01"
"-88.85","14.00","2.065946065607430e+00","1.929766552488030e+00","-1.337471624321360e+00","9.109078878827800e-01"
"-88.80","14.00","2.086633211128080e+00","1.908829313157850e+00","-1.323987976093810e+00","9.283796010796410e-01"
"-88.75","14.00","2.107091538074870e+00","1.887664018120230e+00","-1.310273109257230e+00","9.456767431092969e-01"
"-88.70","14.00","2.127318430852410e+00","1.866273329184030e+00","-1.296329129805550e+00","9.627962649807990e-01"
"-88.65","14.00","2.147311306189200e+00","1.844659939469590e+00","-1.282158183728180e+00","9.797351421372350e-01"
"-88.60","14.00","2.167067613527800e+00","1.822826573004760e+00","-1.267762456732170e+00","9.964903749797190e-01"
"-88.55","14.00","2.186584835409900e+00","1.800775984315850e+00","-1.253144173957420e+00","1.013058989388260e+00"
"-88.50","14.00","2.205860487856120e+00","1.778510958013590e+00","-1.238305599684990e+00","1.029438037239390e+00"
"-88.45","14.00","2.224892120740470e+00","1.756034308374250e+00","-1.223249037038680e+00","1.045624596920510e+00"
"-88.40","14.00","2.243677318159510e+00","1.733348878915910e+00","-1.207976827679730e+00","1.061615773840740e+00"
"-88.35","14.00","2.262213698796140e+00","1.710457541969900e+00","-1.192491351494840e+00","1.077408700938360e+00"
"-88.30","14.00","2.280498916277730e+00","1.687363198247640e+00","-1.176795026277470e+00","1.093000539184590e+00"
"-88.25","14.00","2.298530659528890e+00","1.664068776402850e+00","-1.160890307402400e+00","1.108388478083780e+00"
"-88.20","14.00","2.316306653118500e+00","1.640577232589130e+00","-1.144779687493820e+00","1.123569736169690e+00"
"-88.15","14.00","2.333824657601160e+00","1.616891550013160e+00","-1.128465696086680e+00","1.138541561498080e+00"
"-88.10","14.00","2.351082469852800e+00","1.593014738483450e+00","-1.111950899281590e+00","1.153301232135200e+00"
"-88.05","14.00","2.368077923400610e+00","1.568949833954790e+00","-1.095237899393280e+00","1.167846056642330e+00"
"-88.00","14.00","2.384808888747060e+00","1.544699898068470e+00","-1.078329334592460e+00","1.182173374556230e+00"
"-87.95","14.00","2.401273273688040e+00","1.520268017688200e+00","-1.061227878541490e+00","1.196280556865270e+00"
"-87.90","14.00","2.417469023625030e+00","1.495657304432150e+00","-1.043936240023530e+00","1.210165006481380e+00"
"-87.85","14.00","2.433394121871270e+00","1.470870894200780e+00","-1.026457162565540e+00","1.223824158707590e+00"
"-87.80","14.00","2.449046589951810e+00","1.445911946700880e+00","-1.008793424054940e+00","1.237255481701010e+00"
"-87.75","14.00","2.464424487897560e+00","1.420783644965640e+00","-9.909478363501530e-01","1.250456476931480e+00"
"-87.70","14.00","2.479525914533010e+00","1.395489194870960e+00","-9.729232448849860e-01","1.263424679635340e+00"
"-87.65","14.00","2.494349007757900e+00","1.370031824648130e+00","-9.547225282669320e-01","1.276157659264710e+00"
"-87.60","14.00","2.508891944822430e+00","1.344414784392880e+00","-9.363485978694870e-01","1.288653019931780e+00"
"-87.55","14.00","2.523152942596340e+00","1.318641345570830e+00","-9.178043974184760e-01","1.300908400848390e+00"
"-87.50","14.00","2.537130257831510e+00","1.292714800519530e+00","-8.990929025724890e-01","1.312921476760550e+00"
"-87.45","14.00","2.550822187418160e+00","1.266638461947160e+00","-8.802171204974780e-01","1.324689958377990e+00"
"-87.40","14.00","2.564227068634640e+00","1.240415662427920e+00","-8.611800894355660e-01","1.336211592798530e+00"
"-87.35","14.00","2.577343279390690e+00","1.214049753894260e+00","-8.419848782681750e-01","1.347484163927310e+00"
"-87.30","14.00","2.590169238464150e+00","1.187544107125930e+00","-8.226345860734450e-01","1.358505492890730e+00"
"-87.25","14.00","2.602703405731080e+00","1.160902111236050e+00","-8.031323416781000e-01","1.369273438445070e+00"
"-87.20","14.00","2.614944282389360e+00","1.134127173154270e+00","-7.834813032037780e-01","1.379785897379600e+00"
"-87.15","14.00","2.626890411175440e+00","1.107222717107020e+00","-7.636846576079320e-01","1.390040804914340e+00"
"-87.10","14.00","2.638540376574560e+00","1.080192184095040e+00","-7.437456202192700e-01","1.400036135092090e+00"
"-87.05","14.00","2.649892805024160e+00","1.053039031368230e+00","-7.236674342679810e-01","1.409769901164920e+00"
"-87.00","14.00","2.660946365110540e+00","1.025766731897860e+00","-7.034533704105830e-01","1.419240155974940e+00"
"-86.95","14.00","2.671699767758650e+00","9.983787738464250e-01","-6.831067262497390e-01","1.428444992329190e+00"
"-86.90","14.00","2.682151766415160e+00","9.708786600348790e-01","-6.626308258487980e-01","1.437382543368760e+00"
"-86.85","14.00","2.692301157224570e+00","9.432699074077510e-01","-6.420290192414290e-01","1.446050982931960e+00"
"-86.80","14.00","2.702146779198430e+00","9.155560464959400e-01","-6.213046819362440e-01","1.454448525911480e+00"
"-86.75","14.00","2.711687514377640e+00","8.877406208773920e-01","-6.004612144165340e-01","1.462573428605450e+00"
"-86.70","14.00","2.720922287987850e+00","8.598271866357100e-01","-5.795020416351750e-01","1.470423989062450e+00"
"-86.65","14.00","2.729850068587740e+00","8.318193118168610e-01","-5.584306125048210e-01","1.477998547420210e+00"
"-86.60","14.00","2.738469868210430e+00","8.037205758839741e-01","-5.372503993834360e-01","1.485295486238170e+00"
"-86.55","14.00","2.746780742497750e+00","7.755345691704650e-01","-5.159648975552520e-01","1.492313230823570e+00"
"-86.50","14.00","2.754781790827550e+00","7.472648923313060e-01","-4.945776247071750e-01","1.499050249551280e+00"
"-86.45","14.00","2.762472156433810e+00","7.189151557929170e-01","-4.730921204008250e-01","1.505505054177070e+00"
"-86.40","14.00","2.769851026519770e+00","6.904889792014270e-01","-4.515119455402160e-01","1.511676200144450e+00"
