"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","90.00","-1.301668309153850e-01","3.914231820052250e-01","-1.550049806492850e+00","-4.096531980546180e-01"
"-89.95","90.00","-1.200599243114370e-01","3.858600464534130e-01","-1.551940872518640e+00","-3.894509236602480e-01"
"-89.90","90.00","-1.100580238402430e-01","3.801261556474650e-01","-1.553570123612280e+00","-3.692394753441020e-01"
"-89.85","90.00","-1.001636255266010e-01","3.742229172165670e-01","-1.554937428838790e+00","-3.490222155538350e-01"
"-89.80","90.00","-9.037920849283880e-02","3.681517730317580e-01","-1.556042700191020e+00","-3.288025099684740e-01"
"-89.75","90.00","-8.070723450088391e-02","3.619141990106130e-01","-1.556885892659340e+00","-3.085837269505400e-01"
"-89.70","90.00","-7.115014749659880e-02","3.555117049158180e-01","-1.557467004294230e+00","-2.883692369969660e-01"
"-89.65","90.00","-6.171037315643560e-02","3.489458341476820e-01","-1.557786076261970e+00","-2.681624121887320e-01"
"-89.60","90.00","-5.239031843650120e-02","3.422181635305990e-01","-1.557843192893060e+00","-2.479666256394210e-01"
"-89.55","90.00","-4.319237112411470e-02","3.353303030935200e-01","-1.557638481723740e+00","-2.277852509427190e-01"
"-89.50","90.00","-3.411889939190550e-02","3.282838958443860e-01","-1.557172113530270e+00","-2.076216616189620e-01"
"-89.45","90.00","-2.517225135459710e-02","3.210806175386640e-01","-1.556444302356110e+00","-1.874792305608820e-01"
"-89.40","90.00","-1.635475462850490e-02","3.137221764419170e-01","-1.555455305532010e+00","-1.673613294785840e-01"
"-89.35","90.00","-7.668715893838600e-03","3.062103130865110e-01","-1.554205423688850e+00","-1.472713283438230e-01"
"-89.30","90.00","8.835795400987000e-04","2.985468000224450e-01","-1.552695000763350e+00","-1.272125948337840e-01"
"-89.25","90.00","9.299868166752000e-03","2.907334415623560e-01","-1.550924423996620e+00","-1.071884937743170e-01"
"-89.20","90.00","1.757790871109410e-02","2.827720735207660e-01","-1.548894123925470e+00","-8.720238658288340e-02"
"-89.15","90.00","2.571548255530140e-02","2.746645629475460e-01","-1.546604574366530e+00","-6.725763071109660e-02"
"-89.10","90.00","3.371039416122210e-02","2.664128078556780e-01","-1.544056292393110e+00","-4.735757908717840e-02"
