"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","16.00","1.459901055187690e+00","2.324796755476160e+00","-1.608713751027610e+00","4.669542297061860e-01"
"-89.95","16.00","1.485062241169850e+00","2.310299564381460e+00","-1.601184460683670e+00","4.879164938205970e-01"
"-89.90","16.00","1.510067498909750e+00","2.295520698895410e+00","-1.593382674823400e+00","5.087828663552230e-01"
"-89.85","16.00","1.534913550488930e+00","2.280461947482670e+00","-1.585309469268840e+00","5.295498348157920e-01"
"-89.80","16.00","1.559597139355260e+00","2.265125138237770e+00","-1.576965964864330e+00","5.502138976848180e-01"
"-89.75","16.00","1.584115030818980e+00","2.249512138623580e+00","-1.568353327375170e+00","5.707715649986950e-01"
"-89.70","16.00","1.608464012545360e+00","2.233624855203470e+00","-1.559472767378840e+00","5.912193589238960e-01"
"-89.65","16.00","1.632640895044110e+00","2.217465233367120e+00","-1.550325540148830e+00","6.115538143323410e-01"
"-89.60","16.00","1.656642512155360e+00","2.201035257049940e+00","-1.540912945530970e+00","6.317714793757250e-01"
"-89.55","16.00","1.680465721532140e+00","2.184336948446280e+00","-1.531236327812380e+00","6.518689160588010e-01"
"-89.50","16.00","1.704107405119220e+00","2.167372367716390e+00","-1.521297075582990e+00","6.718427008114770e-01"
"-89.45","16.00","1.727564469628370e+00","2.150143612687180e+00","-1.511096621589680e+00","6.916894250595970e-01"
"-89.40","16.00","1.750833847009770e+00","2.132652818546930e+00","-1.500636442582970e+00","7.114056957943560e-01"
"-89.35","16.00","1.773912494919680e+00","2.114902157533720e+00","-1.489918059156370e+00","7.309881361402710e-01"
"-89.30","16.00","1.796797397184110e+00","2.096893838618070e+00","-1.478943035578360e+00","7.504333859215240e-01"
"-89.25","16.00","1.819485564258570e+00","2.078630107179360e+00","-1.467712979616930e+00","7.697381022267060e-01"
"-89.20","16.00","1.841974033683660e+00","2.060113244676540e+00","-1.456229542356960e+00","7.888989599716870e-01"
"-89.15","16.00","1.864259870536600e+00","2.041345568312650e+00","-1.444494418010020e+00","8.079126524607720e-01"
"-89.10","16.00","1.886340167878510e+00","2.022329430693860e+00","-1.432509343717130e+00","8.267758919457689e-01"
"-89.05","16.00","1.908212047197270e+00","2.003067219482430e+00","-1.420276099343990e+00","8.454854101830470e-01"
"-89.00","16.00","1.929872658846140e+00","1.983561357044170e+00","-1.407796507269150e+00","8.640379589884630e-01"
"-88.95","16.00","1.951319182477870e+00","1.963814300090050e+00","-1.395072432164760e+00","8.824303107900220e-01"
"-88.90","16.00","1.972548827474230e+00","1.943828539312330e+00","-1.382105780770260e+00","9.006592591781970e-01"
"-88.85","16.00","1.993558833370980e+00","1.923606599015100e+00","-1.368898501658700e+00","9.187216194538090e-01"
"-88.80","16.00","2.014346470278080e+00","1.903151036739320e+00","-1.355452584996060e+00","9.366142291733550e-01"
"-88.75","16.00","2.034909039295280e+00","1.882464442882410e+00","-1.341770062293300e+00","9.543339486917700e-01"
"-88.70","16.00","2.055243872922740e+00","1.861549440312480e+00","-1.327853006151340e+00","9.718776617024030e-01"
"-88.65","16.00","2.075348335466790e+00","1.840408683977330e+00","-1.313703529998970e+00","9.892422757742000e-01"
"-88.60","16.00","2.095219823440780e+00","1.819044860508100e+00","-1.299323787823680e+00","1.006424722885970e+00"
"-88.55","16.00","2.114855765960770e+00","1.797460687817770e+00","-1.284715973895470e+00","1.023421959957640e+00"
"-88.50","16.00","2.134253625136220e+00","1.775658914694580e+00","-1.269882322483660e+00","1.040230969378470e+00"
"-88.45","16.00","2.153410896455450e+00","1.753642320390390e+00","-1.254825107566780e+00","1.056848759531990e+00"
"-88.40","16.00","2.172325109165820e+00","1.731413714204040e+00","-1.239546642535500e+00","1.073272365317700e+00"
"-88.35","16.00","2.190993826648660e+00","1.708975935059790e+00","-1.224049279888710e+00","1.089498848669400e+00"
"-88.30","16.00","2.209414646788790e+00","1.686331851080990e+00","-1.208335410922750e+00","1.105525299070030e+00"
"-88.25","16.00","2.227585202338610e+00","1.663484359158880e+00","-1.192407465413760e+00","1.121348834062990e+00"
"-88.20","16.00","2.245503161276630e+00","1.640436384516750e+00","-1.176267911293450e+00","1.136966599759760e+00"
"-88.15","16.00","2.263166227160540e+00","1.617190880269460e+00","-1.159919254317920e+00","1.152375771343800e+00"
"-88.10","16.00","2.280572139474520e+00","1.593750826978360e+00","-1.143364037729990e+00","1.167573553570680e+00"
"-88.05","16.00","2.297718673970950e+00","1.570119232201850e+00","-1.126604841914810e+00","1.182557181264170e+00"
"-88.00","16.00","2.314603643006340e+00","1.546299130041330e+00","-1.109644284048850e+00","1.197323919808440e+00"
"-87.95","16.00","2.331224895871420e+00","1.522293580683020e+00","-1.092485017742440e+00","1.211871065636090e+00"
"-87.90","16.00","2.347580319115450e+00","1.498105669935370e+00","-1.075129732675770e+00","1.226195946712050e+00"
"-87.85","16.00","2.363667836864500e+00","1.473738508762370e+00","-1.057581154228410e+00","1.240295923013190e+00"
"-87.80","16.00","2.379485411133770e+00","1.449195232812770e+00","-1.039842043102540e+00","1.254168387003480e+00"
"-87.75","16.00","2.395031042133960e+00","1.424479001945180e+00","-1.021915194939720e+00","1.267810764104940e+00"
"-87.70","16.00","2.410302768571470e+00","1.399592999749290e+00","-1.003803439931440e+00","1.281220513163790e+00"
"-87.65","16.00","2.425298667942460e+00","1.374540433063250e+00","-9.855096424234480e-01","1.294395126912180e+00"
"-87.60","16.00","2.440016856820780e+00","1.349324531487200e+00","-9.670367005138680e-01","1.307332132425140e+00"
"-87.55","16.00","2.454455491139540e+00","1.323948546893120e+00","-9.483875456451920e-01","1.320029091572760e+00"
"-87.50","16.00","2.468612766466570e+00","1.298415752931070e+00","-9.295651421902240e-01","1.332483601467540e+00"
"-87.45","16.00","2.482486918273320e+00","1.272729444531860e+00","-9.105724870320240e-01","1.344693294906760e+00"
"-87.40","16.00","2.496076222197580e+00","1.246892937406260e+00","-8.914126091378800e-01","1.356655840809810e+00"
"-87.35","16.00","2.509378994299580e+00","1.220909567540910e+00","-8.720885691274270e-01","1.368368944650480e+00"
"-87.30","16.00","2.522393591311790e+00","1.194782690690860e+00","-8.526034588349271e-01","1.379830348884010e+00"
"-87.25","16.00","2.535118410882040e+00","1.168515681868860e+00","-8.329604008657659e-01","1.391037833368860e+00"
"-87.20","16.00","2.547551891810190e+00","1.142111934831690e+00","-8.131625481472960e-01","1.401989215783240e+00"
"-87.15","16.00","2.559692514278120e+00","1.115574861563350e+00","-7.932130834740330e-01","1.412682352036050e+00"
"-87.10","16.00","2.571538800073090e+00","1.088907891755240e+00","-7.731152190472560e-01","1.423115136672510e+00"
"-87.05","16.00","2.583089312804490e+00","1.062114472283690e+00","-7.528721960091810e-01","1.433285503274050e+00"
"-87.00","16.00","2.594342658113730e+00","1.035198066684450e+00","-7.324872839716050e-01","1.443191424852710e+00"
"-86.95","16.00","2.605297483877450e+00","1.008162154624770e+00","-7.119637805393230e-01","1.452830914239650e+00"
"-86.90","16.00","2.615952480403980e+00","9.810102313726550e-01","-6.913050108280990e-01","1.462202024468020e+00"
"-86.85","16.00","2.626306380622860e+00","9.537458072637430e-01","-6.705143269775580e-01","1.471302849149900e+00"
"-86.80","16.00","2.636357960267570e+00","9.263724071657680e-01","-6.495951076588610e-01","1.480131522847220e+00"
"-86.75","16.00","2.646106038051320e+00","8.988935699406601e-01","-6.285507575773210e-01","1.488686221436860e+00"
"-86.70","16.00","2.655549475836010e+00","8.713128479043880e-01","-6.073847069700240e-01","1.496965162469470e+00"
"-86.65","16.00","2.664687178794070e+00","8.436338062847401e-01","-5.861004110985220e-01","1.504966605522280e+00"
"-86.60","16.00","2.673518095563460e+00","8.158600226769780e-01","-5.647013497366929e-01","1.512688852545650e+00"
"-86.55","16.00","2.682041218395610e+00","7.879950864976289e-01","-5.431910266538490e-01","1.520130248203300e+00"
"-86.50","16.00","2.690255583296290e+00","7.600425984362520e-01","-5.215729690930850e-01","1.527289180206300e+00"
"-86.45","16.00","2.698160270159480e+00","7.320061699055980e-01","-4.998507272450900e-01","1.534164079640510e+00"
"-86.40","16.00","2.705754402894090e+00","7.038894224899840e-01","-4.780278737173940e-01","1.540753421287660e+00"
"-86.35","16.00","2.713037149543630e+00","6.756959873921590e-01","-4.561080029991810e-01","1.547055723939830e+00"
"-86.30","16.00","2.720007722398720e+00","6.474295048785900e-01","-4.340947309217080e-01","1.553069550707330e+00"
"-86.25","16.00","2.726665378102440e+00","6.190936237234020e-01","-4.119916941144570e-01","1.558793509319990e+00"
"-86.20","16.00","2.733009417748580e+00","5.906920006510070e-01","-3.898025494570710e-01","1.564226252421610e+00"
"-86.15","16.00","2.739039186972600e+00","5.622282997775550e-01","-3.675309735272090e-01","1.569366477857730e+00"
