"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","69.00","8.638334254566450e-02","1.153809336902070e+00","-1.585634002538350e+00","-2.980955361163250e-01"
"-89.95","69.00","1.030179037557520e-01","1.149251731022600e+00","-1.587066731874870e+00","-2.773541136465660e-01"
"-89.90","69.00","1.195804456647910e-01","1.144468369061030e+00","-1.588230857789570e+00","-2.566017018696050e-01"
"-89.85","69.00","1.360680070833630e-01","1.139460150169110e+00","-1.589126155659230e+00","-2.358417343873470e-01"
"-89.80","69.00","1.524776369572380e-01","1.134228011760660e+00","-1.589752444355870e+00","-2.150776499665940e-01"
"-89.75","69.00","1.688063948610630e-01","1.128772929403750e+00","-1.590109586349620e+00","-1.943128919897460e-01"
"-89.70","69.00","1.850513514908610e-01","1.123095916706600e+00","-1.590197487804660e+00","-1.735509079038080e-01"
"-89.65","69.00","2.012095891554130e-01","1.117198025197070e+00","-1.590016098668110e+00","-1.527951486675500e-01"
"-89.60","69.00","2.172782022663490e-01","1.111080344195660e+00","-1.589565412752020e+00","-1.320490681970830e-01"
"-89.55","69.00","2.332542978269120e-01","1.104744000682220e+00","-1.588845467808190e+00","-1.113161228098090e-01"
"-89.50","69.00","2.491349959193020e-01","1.098190159156220e+00","-1.587856345596010e+00","-9.059977066690809e-02"
"-89.45","69.00","2.649174301904790e-01","1.091420021490740e+00","-1.586598171943180e+00","-6.990347121446611e-02"
"-89.40","69.00","2.805987483363820e-01","1.084434826780040e+00","-1.585071116799280e+00","-4.923068462329730e-02"
"-89.35","69.00","2.961761125844870e-01","1.077235851180860e+00","-1.583275394282210e+00","-2.858487122752900e-02"
"-89.30","69.00","3.116467001745560e-01","1.069824407747410e+00","-1.581211262717500e+00","-7.969490962128300e-03"
"-89.25","69.00","3.270077038375990e-01","1.062201846260050e+00","-1.578879024670390e+00","1.261199720065550e-02"
"-89.20","69.00","3.422563322728220e-01","1.054369553047740e+00","-1.576279026970700e+00","3.315613581566760e-02"
"-89.15","69.00","3.573898106226560e-01","1.046328950804210e+00","-1.573411660730470e+00","5.365946953022110e-02"
"-89.10","69.00","3.724053809456210e-01","1.038081498397940e+00","-1.570277361354440e+00","7.411854565004640e-02"
"-89.05","69.00","3.873003026870210e-01","1.029628690675960e+00","-1.566876608543090e+00","9.452991470599351e-02"
"-89.00","69.00","4.020718531473920e-01","1.020972058261400e+00","-1.563209926288620e+00","1.148901310212290e-01"
"-88.95","69.00","4.167173279486120e-01","1.012113167345010e+00","-1.559277882863450e+00","1.351957532789410e-01"
"-88.90","69.00","4.312340414975600e-01","1.003053619470460e+00","-1.555081090801550e+00","1.554433450903770e-01"
"-88.85","69.00","4.456193274472860e-01","9.937950513136200e-01","-1.550620206872380e+00","1.756294755631460e-01"
"-88.80","69.00","4.598705391555690e-01","9.843391344557419e-01","-1.545895932047520e+00","1.957507198696860e-01"
"-88.75","69.00","4.739850501408550e-01","9.746875751506280e-01","-1.540909011460000e+00","2.158036598158870e-01"
"-88.70","69.00","4.879602545353940e-01","9.648421140858010e-01","-1.535660234356260e+00","2.357848844095900e-01"
"-88.65","69.00","5.017935675355730e-01","9.548045261377049e-01","-1.530150434040730e+00","2.556909904290460e-01"
"-88.60","69.00","5.154824258493320e-01","9.445766201209840e-01","-1.524380487813160e+00","2.755185829911320e-01"
"-88.55","69.00","5.290242881405930e-01","9.341602385318680e-01","-1.518351316898450e+00","2.952642761192810e-01"
"-88.50","69.00","5.424166354706370e-01","9.235572572856650e-01","-1.512063886369260e+00","3.149246933110210e-01"
"-88.45","69.00","5.556569717363140e-01","9.127695854484780e-01","-1.505519205061170e+00","3.344964681049870e-01"
"-88.40","69.00","5.687428241050280e-01","9.017991649631190e-01","-1.498718325480490e+00","3.539762446473560e-01"
"-88.35","69.00","5.816717434464580e-01","8.906479703692500e-01","-1.491662343704740e+00","3.733606782576100e-01"
"-88.30","69.00","5.944413047608450e-01","8.793180085178800e-01","-1.484352399275780e+00","3.926464359934720e-01"
"-88.25","69.00","6.070491076038920e-01","8.678113182801220e-01","-1.476789675085530e+00","4.118301972150210e-01"
"-88.20","69.00","6.194927765080600e-01","8.561299702503971e-01","-1.468975397254400e+00","4.309086541477520e-01"
"-88.15","69.00","6.317699614003290e-01","8.442760664440150e-01","-1.460910835002330e+00","4.498785124446420e-01"
"-88.10","69.00","6.438783380162419e-01","8.322517399892390e-01","-1.452597300512530e+00","4.687364917469820e-01"
"-88.05","69.00","6.558156083101790e-01","8.200591548138780e-01","-1.444036148787910e+00","4.874793262439460e-01"
"-88.00","69.00","6.675795008618530e-01","8.077005053263920e-01","-1.435228777500130e+00","5.061037652308440e-01"
"-87.95","69.00","6.791677712788670e-01","7.951780160916390e-01","-1.426176626831400e+00","5.246065736658730e-01"
"-87.90","69.00","6.905782025953110e-01","7.824939415012740e-01","-1.416881179308980e+00","5.429845327253120e-01"
"-87.85","69.00","7.018086056663100e-01","7.696505654388270e-01","-1.407343959632380e+00","5.612344403570780e-01"
"-87.80","69.00","7.128568195584400e-01","7.566502009395810e-01","-1.397566534493350e+00","5.793531118324911e-01"
"-87.75","69.00","7.237207119360110e-01","7.434951898451910e-01","-1.387550512388520e+00","5.973373802962780e-01"
"-87.70","69.00","7.343981794430230e-01","7.301879024532070e-01","-1.377297543424970e+00","6.151840973145470e-01"
"-87.65","69.00","7.448871480808490e-01","7.167307371614990e-01","-1.366809319118420e+00","6.328901334207720e-01"
