"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","73.00","4.548723217984880e-02","1.023045586390100e+00","-1.575863642762780e+00","-3.503638953326980e-01"
"-89.95","73.00","6.102994443090150e-02","1.018372914961910e+00","-1.577654843481590e+00","-3.297552269723180e-01"
"-89.90","73.00","7.649568556034970e-02","1.013483374429510e+00","-1.579178997620030e+00","-3.091333764516910e-01"
"-89.85","73.00","9.188156606775739e-02","1.008377942574820e+00","-1.580435872562390e+00","-2.885017613639760e-01"
"-89.80","73.00","1.071847076415320e-01","1.003057634859660e+00","-1.581425279049220e+00","-2.678638043847740e-01"
"-89.75","73.00","1.224022436478260e-01","9.975235043043880e-01","-1.582147071277190e+00","-2.472229327236430e-01"
"-89.70","73.00","1.375313196180940e-01","9.917766413601320e-01","-1.582601146992140e+00","-2.265825775739450e-01"
"-89.65","73.00","1.525690937353370e-01","9.858181737746570e-01","-1.582787447575080e+00","-2.059461735609360e-01"
"-89.60","73.00","1.675127373188790e-01","9.796492664518830e-01","-1.582705958121110e+00","-1.853171581883160e-01"
"-89.55","73.00","1.823594353076380e-01","9.732711213050790e-01","-1.582356707511410e+00","-1.646989712832080e-01"
"-89.50","73.00","1.971063867418030e-01","9.666849771036931e-01","-1.581739768478090e+00","-1.440950544397520e-01"
"-89.45","73.00","2.117508052427800e-01","9.598921093139250e-01","-1.580855257661940e+00","-1.235088504613810e-01"
"-89.40","73.00","2.262899194913930e-01","9.528938299329890e-01","-1.579703335663110e+00","-1.029438028018560e-01"
"-89.35","73.00","2.407209737042250e-01","9.456914873171151e-01","-1.578284207084610e+00","-8.240335500513410e-02"
"-89.30","73.00","2.550412281079960e-01","9.382864660033000e-01","-1.576598120568620e+00","-6.189095014422790e-02"
"-89.25","73.00","2.692479594119590e-01","9.306801865248370e-01","-1.574645368825710e+00","-4.141003025904400e-02"
"-89.20","73.00","2.833384612781160e-01","9.228741052206521e-01","-1.572426288656760e+00","-2.096403579345540e-02"
"-89.15","73.00","2.973100447893410e-01","9.148697140384510e-01","-1.569941260967740e+00","-5.564050314608001e-04"
"-89.10","73.00","3.111600389151570e-01","9.066685403317249e-01","-1.567190710777170e+00","1.980942646720210e-02"
"-89.05","73.00","3.248857909751680e-01","8.982721466506191e-01","-1.564175107216380e+00","4.013002643210710e-02"
"-89.00","73.00","3.384846671000920e-01","8.896821305267230e-01","-1.560894963522530e+00","6.040196644764950e-02"
"-88.95","73.00","3.519540526902490e-01","8.809001242517690e-01","-1.557350837024310e+00","8.062182251898990e-02"
"-88.90","73.00","3.652913528714580e-01","8.719277946503070e-01","-1.553543329120310e+00","1.007861756382490e-01"
"-88.85","73.00","3.784939929482610e-01","8.627668428463550e-01","-1.549473085250210e+00","1.208916123509680e-01"
"-88.80","73.00","3.915594188543610e-01","8.534190040241030e-01","-1.545140794858530e+00","1.409347253226000e-01"
"-88.75","73.00","4.044850976002810e-01","8.438860471826320e-01","-1.540547191351180e+00","1.609121139051460e-01"
"-88.70","73.00","4.172685177180440e-01","8.341697748847510e-01","-1.535693052044540e+00","1.808203847035850e-01"
"-88.65","73.00","4.299071897028970e-01","8.242720229999460e-01","-1.530579198107390e+00","2.006561521422170e-01"
"-88.60","73.00","4.423986464519340e-01","8.141946604414990e-01","-1.525206494495360e+00","2.204160390306850e-01"
"-88.55","73.00","4.547404436995770e-01","8.039395888978110e-01","-1.519575849878110e+00","2.400966771296740e-01"
"-88.50","73.00","4.669301604498440e-01","7.935087425579270e-01","-1.513688216559170e+00","2.596947077161270e-01"
"-88.45","73.00","4.789653994052790e-01","7.829040878313750e-01","-1.507544590388410e+00","2.792067821479160e-01"
"-88.40","73.00","4.908437873925060e-01","7.721276230623160e-01","-1.501146010667210e+00","2.986295624278300e-01"
"-88.35","73.00","5.025629757843380e-01","7.611813782380240e-01","-1.494493560046290e+00","3.179597217668770e-01"
