"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","65.00","1.314237064451000e-01","1.278242056906530e+00","-1.598141723179930e+00","-2.344635118552550e-01"
"-89.95","65.00","1.490888638652090e-01","1.273702816931300e+00","-1.599093576962000e+00","-2.135579175888910e-01"
"-89.90","65.00","1.666855294027210e-01","1.268929501930540e+00","-1.599774891192290e+00","-1.926449028928120e-01"
"-89.85","65.00","1.842106752380960e-01","1.263922951246690e+00","-1.600185465415880e+00","-1.717279223623980e-01"
"-89.80","65.00","2.016612828756980e-01","1.258684043024020e+00","-1.600325142883090e+00","-1.508104356425050e-01"
"-89.75","65.00","2.190343436419480e-01","1.253213694111460e+00","-1.600193810652780e+00","-1.298959068763270e-01"
"-89.70","65.00","2.363268591824410e-01","1.247512859958960e+00","-1.599791399688710e+00","-1.089878041524850e-01"
"-89.65","65.00","2.535358419580750e-01","1.241582534507370e+00","-1.599117884948890e+00","-8.808959895028530e-02"
"-89.60","65.00","2.706583157400360e-01","1.235423750071920e+00","-1.598173285467900e+00","-6.720476558332790e-02"
"-89.55","65.00","2.876913161035880e-01","1.229037577219250e+00","-1.596957664432130e+00","-4.633678064149700e-02"
"-89.50","65.00","3.046318909205820e-01","1.222425124638030e+00","-1.595471129248010e+00","-2.548912243144430e-02"
"-89.45","65.00","3.214771008505660e-01","1.215587539003210e+00","-1.593713831603010e+00","-4.665270415688000e-03"
"-89.40","65.00","3.382240198304360e-01","1.208526004833790e+00","-1.591685967519610e+00","1.613129534961510e-02"
"-89.35","65.00","3.548697355625770e-01","1.201241744344350e+00","-1.589387777402050e+00","3.689709477816540e-02"
"-89.30","65.00","3.714113500013130e-01","1.193736017290110e+00","-1.586819546075900e+00","5.762864831809710e-02"
"-89.25","65.00","3.878459798377250e-01","1.186010120805690e+00","-1.583981602820470e+00","7.832247751766100e-02"
"-89.20","65.00","4.041707569825770e-01","1.178065389237560e+00","-1.580874321393910e+00","9.897510559177260e-02"
"-89.15","65.00","4.203828290474580e-01","1.169903193970200e+00","-1.577498120051130e+00","1.195830579895480e-01"
"-89.10","65.00","4.364793598238930e-01","1.161524943245940e+00","-1.573853461554440e+00","1.401428629624780e-01"
"-89.05","65.00","4.524575297604200e-01","1.152932081978560e+00","-1.569940853176900e+00","1.606510521333480e-01"
"-89.00","65.00","4.683145364375580e-01","1.144126091560670e+00","-1.565760846698380e+00","1.811041610657070e-01"
"-88.95","65.00","4.840475950405490e-01","1.135108489664880e+00","-1.561314038394270e+00","2.014987298338440e-01"
"-88.90","65.00","4.996539388298010e-01","1.125880830038760e+00","-1.556601069016960e+00","2.218313035931400e-01"
"-88.85","65.00","5.151308196089630e-01","1.116444702293630e+00","-1.551622623769840e+00","2.420984331507040e-01"
"-88.80","65.00","5.304755081905130e-01","1.106801731687320e+00","-1.546379432274120e+00","2.622966755361940e-01"
"-88.75","65.00","5.456852948588630e-01","1.096953578900670e+00","-1.540872268528130e+00","2.824225945728180e-01"
"-88.70","65.00","5.607574898307850e-01","1.086901939808100e+00","-1.535101950859360e+00","3.024727614482480e-01"
"-88.65","65.00","5.756894237131640e-01","1.076648545242040e+00","-1.529069341869120e+00","3.224437552855040e-01"
"-88.60","65.00","5.904784479579520e-01","1.066195160751420e+00","-1.522775348369730e+00","3.423321637136200e-01"
"-88.55","65.00","6.051219353142679e-01","1.055543586354150e+00","-1.516220921314480e+00","3.621345834380520e-01"
"-88.50","65.00","6.196172802775720e-01","1.044695656283650e+00","-1.509407055720030e+00","3.818476208107160e-01"
"-88.45","65.00","6.339618995357810e-01","1.033653238729500e+00","-1.502334790581560e+00","4.014678923995310e-01"
"-88.40","65.00","6.481532324123050e-01","1.022418235572220e+00","-1.495005208780490e+00","4.209920255573760e-01"
"-88.35","65.00","6.621887413059100e-01","1.010992582112140e+00","-1.487419436984760e+00","4.404166589904460e-01"
"-88.30","65.00","6.760659121273010e-01","9.993782467926540e-01","-1.479578645541780e+00","4.597384433257640e-01"
"-88.25","65.00","6.897822547324060e-01","9.875772309174899e-01","-1.471484048364000e+00","4.789540416779040e-01"
"-88.20","65.00","7.033353033522020e-01","9.755915683624590e-01","-1.463136902807050e+00","4.980601302146870e-01"
"-88.15","65.00","7.167226170190970e-01","9.634233252814201e-01","-1.454538509540560e+00","5.170533987218980e-01"
"-88.10","65.00","7.299417799897320e-01","9.510745998066630e-01","-1.445690212411610e+00","5.359305511667900e-01"
"-88.05","65.00","7.429904021641111e-01","9.385475217436990e-01","-1.436593398300770e+00","5.546883062603540e-01"
"-88.00","65.00","7.558661195010810e-01","9.258442522604970e-01","-1.427249496970820e+00","5.733233980182690e-01"
"-87.95","65.00","7.685665944299790e-01","9.129669835712240e-01","-1.417659980908200e+00","5.918325763204040e-01"
"-87.90","65.00","7.810895162584170e-01","8.999179386145620e-01","-1.407826365157000e+00","6.102126074687469e-01"
"-87.85","65.00","7.934326015761630e-01","8.866993707265980e-01","-1.397750207145780e+00","6.284602747437420e-01"
"-87.80","65.00","8.055935946549539e-01","8.733135633083910e-01","-1.387433106506970e+00","6.465723789588430e-01"
"-87.75","65.00","8.175702678443160e-01","8.597628294881940e-01","-1.376876704889100e+00","6.645457390133130e-01"
"-87.70","65.00","8.293604219631580e-01","8.460495117784650e-01","-1.366082685761660e+00","6.823771924430340e-01"
"-87.65","65.00","8.409618866871780e-01","8.321759817276591e-01","-1.355052774212800e+00","7.000635959693230e-01"
"-87.60","65.00","8.523725209319610e-01","8.181446395668860e-01","-1.343788736739790e+00","7.176018260456070e-01"
