"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","44.00","5.089612574562780e-01","1.840477968603290e+00","-1.689849544991030e+00","1.736626926855070e-01"
"-89.95","44.00","5.311523535607940e-01","1.833772068807490e+00","-1.686931120834590e+00","1.957039978050400e-01"
"-89.90","44.00","5.532626929843770e-01","1.826796531721060e+00","-1.683728243985340e+00","2.177142178823220e-01"
"-89.85","44.00","5.752889670487170e-01","1.819552282313550e+00","-1.680241112957550e+00","2.396897281620990e-01"
"-89.80","44.00","5.972278773017560e-01","1.812040286685660e+00","-1.676469972075210e+00","2.616269031147920e-01"
"-89.75","44.00","6.190761360372230e-01","1.804261551959800e+00","-1.672415111528290e+00","2.835221170141840e-01"
"-89.70","44.00","6.408304668129040e-01","1.796217126164000e+00","-1.668076867421700e+00","3.053717445163330e-01"
"-89.65","44.00","6.624876049677990e-01","1.787908098109110e+00","-1.663455621816920e+00","3.271721612397740e-01"
"-89.60","44.00","6.840442981379060e-01","1.779335597259410e+00","-1.658551802766210e+00","3.489197443468380e-01"
"-89.55","44.00","7.054973067706840e-01","1.770500793596510e+00","-1.653365884339530e+00","3.706108731260550e-01"
"-89.50","44.00","7.268434046380170e-01","1.761404897476650e+00","-1.647898386643970e+00","3.922419295755050e-01"
"-89.45","44.00","7.480793793476120e-01","1.752049159481380e+00","-1.642149875835850e+00","4.138092989870140e-01"
"-89.40","44.00","7.692020328527380e-01","1.742434870261670e+00","-1.636120964125250e+00","4.353093705311050e-01"
"-89.35","44.00","7.902081819602830e-01","1.732563360375360e+00","-1.629812309773220e+00","4.567385378426840e-01"
"-89.30","44.00","8.110946588369150e-01","1.722436000118180e+00","-1.623224617081410e+00","4.780931996072080e-01"
"-89.25","44.00","8.318583115134240e-01","1.712054199348080e+00","-1.616358636374230e+00","4.993697601474330e-01"
"-89.20","44.00","8.524960043869581e-01","1.701419407303150e+00","-1.609215163973570e+00","5.205646300104180e-01"
"-89.15","44.00","8.730046187213150e-01","1.690533112413010e+00","-1.601795042165870e+00","5.416742265549670e-01"
"-89.10","44.00","8.933810531449640e-01","1.679396842103710e+00","-1.594099159161800e+00","5.626949745391210e-01"
"-89.05","44.00","9.136222241468380e-01","1.668012162596160e+00","-1.586128449048290e+00","5.836233067078120e-01"
"-89.00","44.00","9.337250665698280e-01","1.656380678698260e+00","-1.577883891733100e+00","6.044556643804840e-01"
"-88.95","44.00","9.536865341018300e-01","1.644504033590440e+00","-1.569366512881720e+00","6.251884980386390e-01"
"-88.90","44.00","9.735035997642870e-01","1.632383908605010e+00","-1.560577383846830e+00","6.458182679131390e-01"
"-88.85","44.00","9.931732563981420e-01","1.620022022999060e+00","-1.551517621590100e+00","6.663414445712350e-01"
"-88.80","44.00","1.012692517147100e+00","1.607420133721110e+00","-1.542188388596480e+00","6.867545095031420e-01"
"-88.75","44.00","1.032058415938180e+00","1.594580035171450e+00","-1.532590892780840e+00","7.070539557082270e-01"
"-88.70","44.00","1.051268007959410e+00","1.581503558956230e+00","-1.522726387387090e+00","7.272362882804770e-01"
"-88.65","44.00","1.070318370134560e+00","1.568192573635430e+00","-1.512596170879730e+00","7.472980249933430e-01"
"-88.60","44.00","1.089206601594880e+00","1.554648984464490e+00","-1.502201586827800e+00","7.672356968837470e-01"
"-88.55","44.00","1.107929824147810e+00","1.540874733129990e+00","-1.491544023781220e+00","7.870458488352280e-01"
"-88.50","44.00","1.126485182742460e+00","1.526871797479040e+00","-1.480624915139670e+00","8.067250401600859e-01"
"-88.45","44.00","1.144869845931880e+00","1.512642191242790e+00","-1.469445739013780e+00","8.262698451804120e-01"
"-88.40","44.00","1.163081006331930e+00","1.498187963753780e+00","-1.458008018078840e+00","8.456768538079320e-01"
"-88.35","44.00","1.181115881076830e+00","1.483511199657340e+00","-1.446313319420960e+00","8.649426721226020e-01"
"-88.30","44.00","1.198971712271140e+00","1.468614018617100e+00","-1.434363254375680e+00","8.840639229497240e-01"
"-88.25","44.00","1.216645767438280e+00","1.453498575014570e+00","-1.422159478358990e+00","9.030372464356859e-01"
"-88.20","44.00","1.234135339965210e+00","1.438167057642810e+00","-1.409703690690960e+00","9.218593006219900e-01"
