"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","52.00","3.300383509726960e-01","1.643339226316010e+00","-1.654043820363420e+00","1.717506012420020e-02"
"-89.95","52.00","3.506765628650220e-01","1.637953193001350e+00","-1.652771615466850e+00","3.878329059295400e-02"
"-89.90","52.00","3.712451690642950e-01","1.632309428130090e+00","-1.651220379418570e+00","6.037841357999750e-02"
"-89.85","52.00","3.917409531023990e-01","1.626408740630510e+00","-1.649390107872710e+00","8.195687405717630e-02"
"-89.80","52.00","4.121607073129340e-01","1.620251979793610e+00","-1.647280841371420e+00","1.035151138658890e-01"
"-89.75","52.00","4.325012333432900e-01","1.613840035182650e+00","-1.644892665429200e+00","1.250495722822490e-01"
"-89.70","52.00","4.527593426657510e-01","1.607173836535970e+00","-1.642225710610060e+00","1.465566865838130e-01"
"-89.65","52.00","4.729318570877050e-01","1.600254353663330e+00","-1.639280152597590e+00","1.680328926179750e-01"
"-89.60","52.00","4.930156092607810e-01","1.593082596335610e+00","-1.636056212257770e+00","1.894746253717900e-01"
"-89.55","52.00","5.130074431888960e-01","1.585659614167960e+00","-1.632554155694580e+00","2.108783195432520e-01"
"-89.50","52.00","5.329042147350650e-01","1.577986496496400e+00","-1.628774294298350e+00","2.322404101138600e-01"
"-89.45","52.00","5.527027921269310e-01","1.570064372247870e+00","-1.624716984786910e+00","2.535573329223830e-01"
"-89.40","52.00","5.724000564608670e-01","1.561894409803710e+00","-1.620382629239310e+00","2.748255252397530e-01"
"-89.35","52.00","5.919929022046900e-01","1.553477816856730e+00","-1.615771675122370e+00","2.960414263450340e-01"
"-89.30","52.00","6.114782376987230e-01","1.544815840261640e+00","-1.610884615309800e+00","3.172014781022310e-01"
"-89.25","52.00","6.308529856553090e-01","1.535909765879060e+00","-1.605721988093950e+00","3.383021255380570e-01"
"-89.20","52.00","6.501140836564940e-01","1.526760918413140e+00","-1.600284377190280e+00","3.593398174203110e-01"
"-89.15","52.00","6.692584846500230e-01","1.517370661242550e+00","-1.594572411734350e+00","3.803110068370500e-01"
"-89.10","52.00","6.882831574433300e-01","1.507740396245180e+00","-1.588586766271410e+00","4.012121517762160e-01"
"-89.05","52.00","7.071850871955920e-01","1.497871563616420e+00","-1.582328160738590e+00","4.220397157057370e-01"
"-89.00","52.00","7.259612759077130e-01","1.487765641680980e+00","-1.575797360439660e+00","4.427901681540280e-01"
"-88.95","52.00","7.446087429101700e-01","1.477424146698430e+00","-1.568995176012310e+00","4.634599852907500e-01"
"-88.90","52.00","7.631245253485950e-01","1.466848632662330e+00","-1.561922463387960e+00","4.840456505077000e-01"
"-88.85","52.00","7.815056786670610e-01","1.456040691093080e+00","-1.554580123744150e+00","5.045436549998390e-01"
"-88.80","52.00","7.997492770889210e-01","1.445001950824550e+00","-1.546969103449400e+00","5.249504983462100e-01"
"-88.75","52.00","8.178524140952510e-01","1.433734077784270e+00","-1.539090394000610e+00","5.452626890908560e-01"
"-88.70","52.00","8.358122029006360e-01","1.422238774767610e+00","-1.530945031952930e+00","5.654767453234140e-01"
"-88.65","52.00","8.536257769263350e-01","1.410517781205580e+00","-1.522534098842170e+00","5.855891952594440e-01"
"-88.60","52.00","8.712902902707150e-01","1.398572872926600e+00","-1.513858721099720e+00","6.055965778203320e-01"
"-88.55","52.00","8.888029181768660e-01","1.386405861912030e+00","-1.504920069959930e+00","6.254954432126850e-01"
"-88.50","52.00","9.061608574973340e-01","1.374018596045640e+00","-1.495719361359950e+00","6.452823535071380e-01"
"-88.45","52.00","9.233613271558480e-01","1.361412958857050e+00","-1.486257855832170e+00","6.649538832164240e-01"
"-88.40","52.00","9.404015686059850e-01","1.348590869259030e+00","-1.476536858389080e+00","6.845066198726310e-01"
"-88.35","52.00","9.572788462867460e-01","1.335554281278960e+00","-1.466557718400630e+00","7.039371646036290e-01"
"-88.30","52.00","9.739904480748380e-01","1.322305183784180e+00","-1.456321829464160e+00","7.232421327083750e-01"
"-88.25","52.00","9.905336857337290e-01","1.308845600201530e+00","-1.445830629266730e+00","7.424181542312620e-01"
"-88.20","52.00","1.006905895359260e+00","1.295177588230920e+00","-1.435085599440070e+00","7.614618745351270e-01"
"-88.15","52.00","1.023104437821880e+00","1.281303239553190e+00","-1.424088265408030e+00","7.803699548730810e-01"
"-88.10","52.00","1.039126699205230e+00","1.267224679532010e+00","-1.412840196226490e+00","7.991390729588810e-01"
"-88.05","52.00","1.054970091241260e+00","1.252944066910190e+00","-1.401343004415950e+00","8.177659235357870e-01"
"-88.00","52.00","1.070632051741500e+00","1.238463593500180e+00","-1.389598345786580e+00","8.362472189439200e-01"
"-87.95","52.00","1.086110045024760e+00","1.223785483868910e+00","-1.377607919255820e+00","8.545796896858460e-01"
"-87.90","52.00","1.101401562340760e+00","1.208911995017070e+00","-1.365373466658670e+00","8.727600849904010e-01"
"-87.85","52.00","1.116504122290050e+00","1.193845416052790e+00","-1.352896772550490e+00","8.907851733746420e-01"
"-87.80","52.00","1.131415271239810e+00","1.178588067859820e+00","-1.340179664002510e+00","9.086517432037670e-01"
"-87.75","52.00","1.146132583735630e+00","1.163142302760170e+00","-1.327224010389820e+00","9.263566032490440e-01"
"-87.70","52.00","1.160653662909190e+00","1.147510504171420e+00","-1.314031723172220e+00","9.438965832434650e-01"
"-87.65","52.00","1.174976140881650e+00","1.131695086258610e+00","-1.300604755667610e+00","9.612685344351970e-01"
"-87.60","52.00","1.189097679162810e+00","1.115698493580850e+00","-1.286945102818140e+00","9.784693301385891e-01"
"-87.55","52.00","1.203015969045920e+00","1.099523200732590e+00","-1.273054800949030e+00","9.954958662827830e-01"
"-87.50","52.00","1.216728731998050e+00","1.083171711979800e+00","-1.258935927520250e+00","1.012345061957710e+00"
"-87.45","52.00","1.230233720045960e+00","1.066646560890900e+00","-1.244590600870840e+00","1.029013859957440e+00"
"-87.40","52.00","1.243528716157420e+00","1.049950309962600e+00","-1.230020979956180e+00","1.045499227320760e+00"
"-87.35","52.00","1.256611534617900e+00","1.033085550240780e+00","-1.215229264077950e+00","1.061798155868900e+00"
"-87.30","52.00","1.269480021402540e+00","1.016054900936330e+00","-1.200217692607110e+00","1.077907662740320e+00"
"-87.25","52.00","1.282132054543380e+00","9.988610090360340e-01","-1.184988544699620e+00","1.093824790922450e+00"
"-87.20","52.00","1.294565544491750e+00","9.815065489086480e-01","-1.169544139005220e+00","1.109546609780240e+00"
"-87.15","52.00","1.306778434475730e+00","9.639942219061980e-01","-1.153886833369120e+00","1.125070215581560e+00"
"-87.10","52.00","1.318768700852710e+00","9.463267559604550e-01","-1.138019024526660e+00","1.140392732019200e+00"
"-87.05","52.00","1.330534353456830e+00","9.285069051748270e-01","-1.121943147791120e+00","1.155511310729420e+00"
"-87.00","52.00","1.342073435941460e+00","9.105374494115440e-01","-1.105661676734410e+00","1.170423131807130e+00"
"-86.95","52.00","1.353384026116390e+00","8.924211938744170e-01","-1.089177122861130e+00","1.185125404317240e+00"
"-86.90","52.00","1.364464236279870e+00","8.741609686869670e-01","-1.072492035275560e+00","1.199615366802520e+00"
"-86.85","52.00","1.375312213545440e+00","8.557596284662630e-01","-1.055609000341970e+00","1.213890287787490e+00"
"-86.80","52.00","1.385926140163250e+00","8.372200518923570e-01","-1.038530641338150e+00","1.227947466278550e+00"
"-86.75","52.00","1.396304233836200e+00","8.185451412734380e-01","-1.021259618102220e+00","1.241784232260020e+00"
"-86.70","52.00","1.406444748030430e+00","7.997378221067830e-01","-1.003798626672740e+00","1.255397947186250e+00"
"-86.65","52.00","1.416345972280470e+00","7.808010426355581e-01","-9.861503989222660e-01","1.268786004469390e+00"
"-86.60","52.00","1.426006232488720e+00","7.617377734015550e-01","-9.683177021842850e-01","1.281945829963090e+00"
"-86.55","52.00","1.435423891219290e+00","7.425510067939470e-01","-9.503033388736550e-01","1.294874882441710e+00"
"-86.50","52.00","1.444597347986300e+00","7.232437565940550e-01","-9.321101461005210e-01","1.307570654075230e+00"
"-86.45","52.00","1.453525039536290e+00","7.038190575163140e-01","-9.137409952778710e-01","1.320030670899540e+00"
"-86.40","52.00","1.462205440124960e+00","6.842799647454340e-01","-8.951987917226950e-01","1.332252493282210e+00"
"-86.35","52.00","1.470637061788050e+00","6.646295534698690e-01","-8.764864742508460e-01","1.344233716383510e+00"
"-86.30","52.00","1.478818454606290e+00","6.448709184116300e-01","-8.576070147656170e-01","1.355971970612650e+00"
"-86.25","52.00","1.486748206964480e+00","6.250071733525270e-01","-8.385634178401380e-01","1.367464922079260e+00"
"-86.20","52.00","1.494424945804570e+00","6.050414506569770e-01","-8.193587202936150e-01","1.378710273039790e+00"
"-86.15","52.00","1.501847336872700e+00","5.849769007913800e-01","-7.999959907615251e-01","1.389705762338980e+00"
"-86.10","52.00","1.509014084960140e+00","5.648166918401361e-01","-7.804783292597181e-01","1.400449165846160e+00"
"-86.05","52.00","1.515923934138210e+00","5.445640090184860e-01","-7.608088667426270e-01","1.410938296886380e+00"
"-86.00","52.00","1.522575667986870e+00","5.242220541820920e-01","-7.409907646555151e-01","1.421171006666260e+00"
