"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","23.00","1.196084211728640e+00","2.241514794436450e+00","-1.680363589271940e+00","4.415537651839990e-01"
"-89.95","23.00","1.220983571407490e+00","2.229076390087830e+00","-1.673602800998000e+00","4.634193520784710e-01"
"-89.90","23.00","1.245746312078430e+00","2.216353180213760e+00","-1.666558765589580e+00","4.852023802149650e-01"
"-89.85","23.00","1.270369070249100e+00","2.203346731187440e+00","-1.659232356402030e+00","5.068992143814440e-01"
"-89.80","23.00","1.294848500869560e+00","2.190058650371280e+00","-1.651624493165670e+00","5.285062274152430e-01"
"-89.75","23.00","1.319181277846670e+00","2.176490585896360e+00","-1.643736141925910e+00","5.500198007945249e-01"
"-89.70","23.00","1.343364094555660e+00","2.162644226435320e+00","-1.635568314975900e+00","5.714363252294110e-01"
"-89.65","23.00","1.367393664349100e+00","2.148521300968650e+00","-1.627122070781560e+00","5.927522012528750e-01"
"-89.60","23.00","1.391266721062920e+00","2.134123578544370e+00","-1.618398513898990e+00","6.139638398111860e-01"
"-89.55","23.00","1.414980019519590e+00","2.119452868031250e+00","-1.609398794884370e+00","6.350676628538831e-01"
"-89.50","23.00","1.438530336028210e+00","2.104511017865480e+00","-1.600124110196140e+00","6.560601039231310e-01"
"-89.45","23.00","1.461914468881610e+00","2.089299915790890e+00","-1.590575702089700e+00","6.769376087423660e-01"
"-89.40","23.00","1.485129238850120e+00","2.073821488592820e+00","-1.580754858504480e+00","6.976966358041230e-01"
"-89.35","23.00","1.508171489672250e+00","2.058077701825500e+00","-1.570662912943400e+00","7.183336569570230e-01"
"-89.30","23.00","1.531038088541820e+00","2.042070559533210e+00","-1.560301244344770e+00","7.388451579916741e-01"
"-89.25","23.00","1.553725926591880e+00","2.025802103965030e+00","-1.549671276946600e+00","7.592276392255730e-01"
"-89.20","23.00","1.576231919374850e+00","2.009274415283490e+00","-1.538774480143410e+00","7.794776160866790e-01"
