"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","74.00","3.566700331280910e-02","9.893235748342560e-01","-1.573821554073040e+00","-3.613911766334140e-01"
"-89.95","74.00","5.092658685093310e-02","9.846100574541470e-01","-1.575682209492580e+00","-3.408111258194410e-01"
"-89.90","74.00","6.610777684812770e-02","9.796819903424270e-01","-1.577276154540360e+00","-3.202175564428260e-01"
"-89.85","74.00","8.120770264885020e-02","9.745403733956161e-01","-1.578603156972220e+00","-2.996138827606800e-01"
"-89.80","74.00","9.622350508146139e-02","9.691862440360700e-01","-1.579663027874690e+00","-2.790035240639160e-01"
"-89.75","74.00","1.111523369458520e-01","9.636206770867790e-01","-1.580455621763870e+00","-2.583899041288100e-01"
"-89.70","74.00","1.259913634996880e-01","9.578447846397790e-01","-1.580980836677350e+00","-2.377764506669550e-01"
"-89.65","74.00","1.407377629432790e-01","9.518597159182370e-01","-1.581238614259050e+00","-2.171665947734280e-01"
"-89.60","74.00","1.553887269029320e-01","9.456666571321580e-01","-1.581228939837220e+00","-1.965637703734750e-01"
"-89.55","74.00","1.699414609127640e-01","9.392668313278100e-01","-1.580951842495180e+00","-1.759714136676220e-01"
"-89.50","74.00","1.843931848948490e-01","9.326614982307890e-01","-1.580407395135160e+00","-1.553929625754250e-01"
"-89.45","74.00","1.987411336376010e-01","9.258519540828331e-01","-1.579595714534930e+00","-1.348318561779260e-01"
"-89.40","74.00","2.129825572723450e-01","9.188395314723490e-01","-1.578516961397400e+00","-1.142915341588940e-01"
"-89.35","74.00","2.271147217480010e-01","9.116255991586950e-01","-1.577171340392980e+00","-9.377543624488770e-02"
"-89.30","74.00","2.411349093037360e-01","9.042115618902210e-01","-1.575559100194880e+00","-7.328700164437750e-02"
"-89.25","74.00","2.550404189395900e-01","8.965988602161030e-01","-1.573680533507140e+00","-5.282966848582540e-02"
"-89.20","74.00","2.688285668848830e-01","8.887889702920160e-01","-1.571535977085510e+00","-3.240687325503660e-02"
"-89.15","74.00","2.824966870644620e-01","8.807834036796161e-01","-1.569125811751090e+00","-1.202205023161830e-02"
"-89.10","74.00","2.960421315625630e-01","8.725837071399090e-01","-1.566450462396740e+00","8.321369075098100e-03"
"-89.05","74.00","3.094622710842900e-01","8.641914624205100e-01","-1.563510397986230e+00","2.861995649075840e-02"
"-89.00","74.00","3.227544954146220e-01","8.556082860368180e-01","-1.560306131546140e+00","4.887028774115790e-02"
"-88.95","74.00","3.359162138748440e-01","8.468358290471520e-01","-1.556838220150490e+00","6.906894301778320e-02"
"-88.90","74.00","3.489448557763400e-01","8.378757768218600e-01","-1.553107264898050e+00","8.921250754364270e-02"
"-88.85","74.00","3.618378708716550e-01","8.287298488064390e-01","-1.549113910882350e+00","1.092975721392800e-01"
"-88.80","74.00","3.745927298027280e-01","8.193997982787170e-01","-1.544858847154480e+00","1.293207337888490e-01"
"-88.75","74.00","3.872069245463020e-01","8.098874121000950e-01","-1.540342806678410e+00","1.492785962062820e-01"
"-88.70","74.00","3.996779688563060e-01","8.001945104609020e-01","-1.535566566279130e+00","1.691677704012550e-01"
"-88.65","74.00","4.120033987032270e-01","7.903229466199210e-01","-1.530530946583400e+00","1.889848752450190e-01"
"-88.60","74.00","4.241807727103500e-01","7.802746066380730e-01","-1.525236811953180e+00","2.087265380359170e-01"
"-88.55","74.00","4.362076725867930e-01","7.700514091063630e-01","-1.519685070411770e+00","2.283893950645370e-01"
"-88.50","74.00","4.480817035572900e-01","7.596553048680310e-01","-1.513876673562490e+00","2.479700921783790e-01"
"-88.45","74.00","4.598004947885960e-01","7.490882767350590e-01","-1.507812616500200e+00","2.674652853459480e-01"
"-88.40","74.00","4.713616998124630e-01","7.383523391990050e-01","-1.501493937715390e+00","2.868716412201410e-01"
"-88.35","74.00","4.827629969451290e-01","7.274495381362091e-01","-1.494921718990910e+00","3.061858377009290e-01"
"-88.30","74.00","4.940020897031980e-01","7.163819505074550e-01","-1.488097085291460e+00","3.254045644971150e-01"
"-88.25","74.00","5.050767072159040e-01","7.051516840520720e-01","-1.481021204645720e+00","3.445245236871720e-01"
"-88.20","74.00","5.159846046335920e-01","6.937608769765850e-01","-1.473695288021150e+00","3.635424302789960e-01"
"-88.15","74.00","5.267235635324470e-01","6.822116976379110e-01","-1.466120589191490e+00","3.824550127685240e-01"
"-88.10","74.00","5.372913923153150e-01","6.705063442211709e-01","-1.458298404597020e+00","4.012590136971040e-01"
"-88.05","74.00","5.476859266085670e-01","6.586470444121830e-01","-1.450230073197430e+00","4.199511902074780e-01"
"-88.00","74.00","5.579050296549800e-01","6.466360550646220e-01","-1.441916976317510e+00","4.385283145983920e-01"
"-87.95","74.00","5.679465927024910e-01","6.344756618619620e-01","-1.433360537485530e+00","4.569871748776220e-01"
"-87.90","74.00","5.778085353888009e-01","6.221681789742500e-01","-1.424562222264400e+00","4.753245753133720e-01"
"-87.85","74.00","5.874888061217420e-01","6.097159487096940e-01","-1.415523538075530e+00","4.935373369839570e-01"
"-87.80","74.00","5.969853824553270e-01","5.971213411612220e-01","-1.406246034015580e+00","5.116222983256160e-01"
"-87.75","74.00","6.062962714614790e-01","5.843867538479540e-01","-1.396731300665940e+00","5.295763156784890e-01"
"-87.70","74.00","6.154195100972540e-01","5.715146113517440e-01","-1.386980969895040e+00","5.473962638304930e-01"
"-87.65","74.00","6.243531655676070e-01","5.585073649487700e-01","-1.376996714653490e+00","5.650790365591410e-01"
"-87.60","74.00","6.330953356835550e-01","5.453674922362910e-01","-1.366780248762170e+00","5.826215471711070e-01"
"-87.55","74.00","6.416441492157230e-01","5.320974967545740e-01","-1.356333326693070e+00","6.000207290395370e-01"
"-87.50","74.00","6.499977662431730e-01","5.186999076040820e-01","-1.345657743343190e+00","6.172735361389500e-01"
"-87.45","74.00","6.581543784974671e-01","5.051772790579790e-01","-1.334755333801210e+00","6.343769435776230e-01"
"-87.40","74.00","6.661122097019080e-01","4.915321901700010e-01","-1.323627973107280e+00","6.513279481274310e-01"
"-87.35","74.00","6.738695159058620e-01","4.777672443777720e-01","-1.312277576005750e+00","6.681235687509660e-01"
"-87.30","74.00","6.814245858141520e-01","4.638850691016140e-01","-1.300706096690840e+00","6.847608471259280e-01"
"-87.25","74.00","6.887757411114230e-01","4.498883153388960e-01","-1.288915528545520e+00","7.012368481666290e-01"
"-87.20","74.00","6.959213367814220e-01","4.357796572540360e-01","-1.276907903873300e+00","7.175486605425370e-01"
"-87.15","74.00","7.028597614211500e-01","4.215617917641810e-01","-1.264685293623300e+00","7.336933971937620e-01"
"-87.10","74.00","7.095894375498180e-01","4.072374381206290e-01","-1.252249807108360e+00","7.496681958434490e-01"
"-87.05","74.00","7.161088219125320e-01","3.928093374860900e-01","-1.239603591716380e+00","7.654702195068580e-01"
