"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","68.00","9.717420022965460e-02","1.185496227244180e+00","-1.588501157906350e+00","-2.831569188448060e-01"
"-89.95","68.00","1.140719604439080e-01","1.180953230196120e+00","-1.589824717057790e+00","-2.623774340530120e-01"
"-89.90","68.00","1.308987284713090e-01","1.176182346772040e+00","-1.590879225405550e+00","-2.415877229558050e-01"
"-89.85","68.00","1.476515260295660e-01","1.171184459258940e+00","-1.591664462808450e+00","-2.207912239113630e-01"
"-89.80","68.00","1.643273847441310e-01","1.165960488344150e+00","-1.592180252665970e+00","-1.999913804333170e-01"
"-89.75","68.00","1.809233466430150e-01","1.160511393010630e+00","-1.592426462021410e+00","-1.791916406411030e-01"
"-89.70","68.00","1.974364646504760e-01","1.154838170425730e+00","-1.592403001658250e+00","-1.583954567085800e-01"
"-89.65","68.00","2.138638030796060e-01","1.148941855823560e+00","-1.592109826189370e+00","-1.376062843108420e-01"
"-89.60","68.00","2.302024381236820e-01","1.142823522381040e+00","-1.591546934139350e+00","-1.168275820693810e-01"
"-89.55","68.00","2.464494583462240e-01","1.136484281087400e+00","-1.590714368019730e+00","-9.606281099564180e-02"
"-89.50","68.00","2.626019651696720e-01","1.129925280607430e+00","-1.589612214397140e+00","-7.531543393310840e-02"
"-89.45","68.00","2.786570733625570e-01","1.123147707138310e+00","-1.588240603954320e+00","-5.458891499800580e-02"
"-89.40","68.00","2.946119115251290e-01","1.116152784260070e+00","-1.586599711544140e+00","-3.388671901869770e-02"
"-89.35","68.00","3.104636225733660e-01","1.108941772779740e+00","-1.584689756236330e+00","-1.321231097382920e-02"
"-89.30","68.00","3.262093642212050e-01","1.101515970569220e+00","-1.582511001357070e+00","7.430844570591000e-03"
"-89.25","68.00","3.418463094610260e-01","1.093876712396750e+00","-1.580063754521490e+00","2.803928402520610e-02"
"-89.20","68.00","3.573716470421670e-01","1.086025369752190e+00","-1.577348367658830e+00","4.860954534216700e-02"
"-89.15","68.00","3.727825819475510e-01","1.077963350666040e+00","-1.574365237030410e+00","6.913816858096700e-02"
"-89.10","68.00","3.880763358681780e-01","1.069692099522140e+00","-1.571114803240410e+00","8.962169647489290e-02"
"-89.05","68.00","4.032501476755050e-01","1.061213096864260e+00","-1.567597551239300e+00","1.100566749982160e-01"
"-89.00","68.00","4.183012738916010e-01","1.052527859196460e+00","-1.563814010320020e+00","1.304396539339060e-01"
"-88.95","68.00","4.332269891570030e-01","1.043637938777260e+00","-1.559764754106920e+00","1.507671874418460e-01"
"-88.90","68.00","4.480245866961630e-01","1.034544923407730e+00","-1.555450400537280e+00","1.710358346273980e-01"
"-88.85","68.00","4.626913787804400e-01","1.025250436213420e+00","-1.550871611835620e+00","1.912421601102550e-01"
"-88.80","68.00","4.772246971885120e-01","1.015756135420260e+00","-1.546029094480610e+00","2.113827345934340e-01"
"-88.75","68.00","4.916218936642150e-01","1.006063714124380e+00","-1.540923599164680e+00","2.314541354324690e-01"
