"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","88.00","-1.063526353170390e-01","4.720754914342490e-01","-1.553562464597180e+00","-4.170016220626360e-01"
"-89.95","88.00","-9.553364064023261e-02","4.666015975523360e-01","-1.555550867821730e+00","-3.967411008012120e-01"
"-89.90","88.00","-8.481644376024550e-02","4.609506812995090e-01","-1.557276630505350e+00","-3.764700701161920e-01"
"-89.85","88.00","-7.420359695583070e-02","4.551241004907440e-01","-1.558739602379050e+00","-3.561919024083300e-01"
"-89.80","88.00","-6.369763626646470e-02","4.491232477078360e-01","-1.559939676201750e+00","-3.359099735975270e-01"
"-89.75","88.00","-5.330108102929380e-02","4.429495501126640e-01","-1.560876787834300e+00","-3.156276625742340e-01"
"-89.70","88.00","-4.301643341821990e-02","4.366044692542800e-01","-1.561550916306430e+00","-2.953483506495760e-01"
"-89.65","88.00","-3.284617798520690e-02","4.300895008698940e-01","-1.561962083876620e+00","-2.750754210041560e-01"
"-89.60","88.00","-2.279278120387930e-02","4.234061746797460e-01","-1.562110356084950e+00","-2.548122581356870e-01"
"-89.55","88.00","-1.285869101549780e-02","4.165560541759310e-01","-1.561995841798850e+00","-2.345622473055220e-01"
"-89.50","88.00","-3.046336377377300e-03","4.095407364051350e-01","-1.561618693251700e+00","-2.143287739841690e-01"
"-89.45","88.00","6.641873186130600e-03","4.023618517454000e-01","-1.560979106074320e+00","-1.941152232959130e-01"
"-89.40","88.00","1.620354803004420e-02","3.950210636768790e-01","-1.560077319319320e+00","-1.739249794626340e-01"
"-89.35","88.00","2.563631883246210e-02","3.875200685466520e-01","-1.558913615478220e+00","-1.537614252468480e-01"
"-89.30","88.00","3.493783703548170e-02","3.798605953276040e-01","-1.557488320491510e+00","-1.336279413941890e-01"
"-89.25","88.00","4.410577528328470e-02","3.720444053714190e-01","-1.555801803751380e+00","-1.135279060752700e-01"
"-89.20","88.00","5.313782785723040e-02","3.640732921557390e-01","-1.553854478097310e+00","-9.346469432720229e-02"
"-89.15","88.00","6.203171110798600e-02","3.559490810254800e-01","-1.551646799804450e+00","-7.344167749464670e-02"
"-89.10","88.00","7.078516388453771e-02","3.476736289283650e-01","-1.549179268564760e+00","-5.346222267069730e-02"
"-89.05","88.00","7.939594796000270e-02","3.392488241447540e-01","-1.546452427460870e+00","-3.352969213759240e-02"
"-89.00","88.00","8.786184845423151e-02","3.306765860116980e-01","-1.543466862932750e+00","-1.364744280732210e-02"
"-88.95","88.00","9.618067425305550e-02","3.219588646414090e-01","-1.540223204737120e+00","6.181174337719400e-03"
"-88.90","88.00","1.043502584241290e-01","3.130976406340240e-01","-1.536722125899570e+00","2.595281480394330e-02"
"-88.85","88.00","1.123684586293020e-01","3.040949247848560e-01","-1.532964342659460e+00","4.566414114556100e-02"
"-88.80","88.00","1.202331575334140e-01","2.949527577860650e-01","-1.528950614407500e+00","6.531182352326780e-02"
"-88.75","88.00","1.279422632094840e-01","2.856732099228410e-01","-1.524681743616170e+00","8.489254026254850e-02"
"-88.70","88.00","1.354937095401770e-01","2.762583807641390e-01","-1.520158575762770e+00","1.044029784114250e-01"
"-88.65","88.00","1.428854566154850e-01","2.667103988480080e-01","-1.515381999245220e+00","1.238398342976450e-01"
"-88.60","88.00","1.501154911265700e-01","2.570314213615620e-01","-1.510352945290710e+00","1.431998140851390e-01"
"-88.55","88.00","1.571818267556650e-01","2.472236338156540e-01","-1.505072387856960e+00","1.624796343297180e-01"
"-88.50","88.00","1.640825045619970e-01","2.372892497142600e-01","-1.499541343526270e+00","1.816760225338880e-01"
"-88.45","88.00","1.708155933636240e-01","2.272305102186700e-01","-1.493760871392390e+00","2.007857177006460e-01"
