"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","59.00","2.111706898928870e-01","1.453860621902500e+00","-1.621730243698790e+00","-1.235691176932600e-01"
"-89.95","59.00","2.302765964402320e-01","1.449119743456440e+00","-1.621760973602370e+00","-1.023625683336730e-01"
"-89.90","59.00","2.493160628954750e-01","1.444133253192610e+00","-1.621517567063050e+00","-8.115647652388180e-02"
"-89.85","59.00","2.682859692886150e-01","1.438901943140340e+00","-1.620999891872070e+00","-5.995433804972070e-02"
"-89.80","59.00","2.871832043029320e-01","1.433426644885410e+00","-1.620207859985850e+00","-3.875965316293470e-02"
"-89.75","59.00","3.060046657796590e-01","1.427708229481600e+00","-1.619141427624650e+00","-1.757592602500570e-02"
"-89.70","59.00","3.247472612217050e-01","1.421747607355630e+00","-1.617800595364150e+00","3.593335850789100e-03"
"-89.65","59.00","3.434079082965210e-01","1.415545728205630e+00","-1.616185408220000e+00","2.474462215908490e-02"
"-89.60","59.00","3.619835353379210e-01","1.409103580893160e+00","-1.614295955725310e+00","4.587442036377070e-02"
"-89.55","59.00","3.804710818468330e-01","1.402422193328660e+00","-1.612132372000970e+00","6.697921626091841e-02"
"-89.50","59.00","3.988674989908740e-01","1.395502632350430e+00","-1.609694835818920e+00","8.805549454317960e-02"
"-89.45","59.00","4.171697501026390e-01","1.388346003597210e+00","-1.606983570658140e+00","1.090997393655330e-01"
"-89.40","59.00","4.353748111766410e-01","1.380953451374240e+00","-1.603998844753560e+00","1.301084349123280e-01"
"-89.35","59.00","4.534796713648520e-01","1.373326158512850e+00","-1.600740971137690e+00","1.510780659655640e-01"
"-89.30","59.00","4.714813334706590e-01","1.365465346223720e+00","-1.597210307674990e+00","1.720051184741910e-01"
"-89.25","59.00","4.893768144413060e-01","1.357372273943620e+00","-1.593407257089090e+00","1.928860801245230e-01"
"-89.20","59.00","5.071631458585310e-01","1.349048239175830e+00","-1.589332266982570e+00","2.137174409114370e-01"
"-89.15","59.00","5.248373744275560e-01","1.340494577324130e+00","-1.584985829849590e+00","2.344956937105490e-01"
"-89.10","59.00","5.423965624641190e-01","1.331712661520490e+00","-1.580368483081120e+00","2.552173348509860e-01"
"-89.05","59.00","5.598377883796080e-01","1.322703902446350e+00","-1.575480808962830e+00","2.758788646888390e-01"
"-89.00","59.00","5.771581471641580e-01","1.313469748147670e+00","-1.570323434665680e+00","2.964767881811780e-01"
"-88.95","59.00","5.943547508676610e-01","1.304011683843580e+00","-1.564897032229110e+00","3.170076154604900e-01"
"-88.90","59.00","6.114247290785479e-01","1.294331231728880e+00","-1.559202318536840e+00","3.374678624094490e-01"
"-88.85","59.00","6.283652294003230e-01","1.284429950770190e+00","-1.553240055285330e+00","3.578540512359830e-01"
"-88.80","59.00","6.451734179256990e-01","1.274309436495970e+00","-1.547011048944790e+00","3.781627110484070e-01"
"-88.75","59.00","6.618464797083620e-01","1.263971320780290e+00","-1.540516150712830e+00","3.983903784307650e-01"
"-88.70","59.00","6.783816192321510e-01","1.253417271620430e+00","-1.533756256460610e+00","4.185335980179940e-01"
"-88.65","59.00","6.947760608776530e-01","1.242648992908420e+00","-1.526732306671650e+00","4.385889230710300e-01"
"-88.60","59.00","7.110270493861039e-01","1.231668224196420e+00","-1.519445286373200e+00","4.585529160516670e-01"
