"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","50.00","3.701784805669050e-01","1.694567772282730e+00","-1.663502662633940e+00","5.751360927839700e-02"
"-89.95","50.00","3.912254480558680e-01","1.688910137561940e+00","-1.661828146419550e+00","7.923756034184790e-02"
"-89.90","50.00","4.122007611104630e-01","1.682991583867100e+00","-1.659873168001010e+00","1.009442071290600e-01"
"-89.85","50.00","4.331011781232110e-01","1.676812939686950e+00","-1.657637768531700e+00","1.226299766777450e-01"
"-89.80","50.00","4.539234665215210e-01","1.670375074084630e+00","-1.655122034282540e+00","1.442912934049300e-01"
"-89.75","50.00","4.746644032817830e-01","1.663678896603980e+00","-1.652326096720390e+00","1.659245796751320e-01"
"-89.70","50.00","4.953207754424600e-01","1.656725357169320e+00","-1.649250132579360e+00","1.875262563700240e-01"
"-89.65","50.00","5.158893806162280e-01","1.649515445978630e+00","-1.645894363924910e+00","2.090927434597060e-01"
"-89.60","50.00","5.363670275010080e-01","1.642050193390120e+00","-1.642259058210620e+00","2.306204605753260e-01"
"-89.55","50.00","5.567505363898690e-01","1.634330669802160e+00","-1.638344528327860e+00","2.521058275830880e-01"
"-89.50","50.00","5.770367396796470e-01","1.626357985526730e+00","-1.634151132648020e+00","2.735452651594830e-01"
"-89.45","50.00","5.972224823782371e-01","1.618133290656210e+00","-1.629679275057550e+00","2.949351953676360e-01"
"-89.40","50.00","6.173046226104230e-01","1.609657774923660e+00","-1.624929404985570e+00","3.162720422347160e-01"
"-89.35","50.00","6.372800321222630e-01","1.600932667556600e+00","-1.619902017424230e+00","3.375522323303420e-01"
"-89.30","50.00","6.571455967837890e-01","1.591959237124190e+00","-1.614597652941630e+00","3.587721953457670e-01"
"-89.25","50.00","6.768982170901130e-01","1.582738791377970e+00","-1.609016897687340e+00","3.799283646739390e-01"
"-89.20","50.00","6.965348086606540e-01","1.573272677086090e+00","-1.603160383390600e+00","4.010171779900880e-01"
"-89.15","50.00","7.160523027366290e-01","1.563562279861070e+00","-1.597028787350950e+00","4.220350778330660e-01"
"-89.10","50.00","7.354476466765070e-01","1.553609023981140e+00","-1.590622832421610e+00","4.429785121870130e-01"
"-89.05","50.00","7.547178044494650e-01","1.543414372205100e+00","-1.583943286985200e+00","4.638439350634850e-01"
"-89.00","50.00","7.738597571267500e-01","1.532979825580860e+00","-1.576990964922140e+00","4.846278070838460e-01"
"-88.95","50.00","7.928705033708240e-01","1.522306923247530e+00","-1.569766725571540e+00","5.053265960618760e-01"
"-88.90","50.00","8.117470599222421e-01","1.511397242231200e+00","-1.562271473684560e+00","5.259367775864410e-01"
"-88.85","50.00","8.304864620841520e-01","1.500252397234380e+00","-1.554506159370280e+00","5.464548356041899e-01"
"-88.80","50.00","8.490857642043170e-01","1.488874040419140e+00","-1.546471778034170e+00","5.668772630020870e-01"
"-88.75","50.00","8.675420401547000e-01","1.477263861183990e+00","-1.538169370308850e+00","5.872005621898621e-01"
"-88.70","50.00","8.858523838083330e-01","1.465423585934490e+00","-1.529600021977530e+00","6.074212456820630e-01"
"-88.65","50.00","9.040139095135280e-01","1.453354977847720e+00","-1.520764863889810e+00","6.275358366797460e-01"
"-88.60","50.00","9.220237525653080e-01","1.441059836630480e+00","-1.511665071870020e+00","6.475408696516880e-01"
"-88.55","50.00","9.398790696739709e-01","1.428539998271410e+00","-1.502301866617980e+00","6.674328909149870e-01"
"-88.50","50.00","9.575770394307240e-01","1.415797334786990e+00","-1.492676513602290e+00","6.872084592150129e-01"
"-88.45","50.00","9.751148627702700e-01","1.402833753961460e+00","-1.482790322946060e+00","7.068641463045280e-01"
"-88.40","50.00","9.924897634302779e-01","1.389651199080660e+00","-1.472644649305170e+00","7.263965375219220e-01"
"-88.35","50.00","1.009698988407720e+00","1.376251648659940e+00","-1.462240891738910e+00","7.458022323685330e-01"
"-88.30","50.00","1.026739808411880e+00","1.362637116166090e+00","-1.451580493573270e+00","7.650778450847741e-01"
"-88.25","50.00","1.043609518314070e+00","1.348809649733260e+00","-1.440664942256550e+00","7.842200052252010e-01"
"-88.20","50.00","1.060305437593850e+00","1.334771331873170e+00","-1.429495769207630e+00","8.032253582321870e-01"
"-88.15","50.00","1.076824910781830e+00","1.320524279179260e+00","-1.418074549656640e+00","8.220905660083180e-01"
"-88.10","50.00","1.093165307898850e+00","1.306070642025250e+00","-1.406402902478210e+00","8.408123074872560e-01"
"-88.05","50.00","1.109324024891470e+00","1.291412604257820e+00","-1.394482490017270e+00","8.593872792030020e-01"
"-88.00","50.00","1.125298484063770e+00","1.276552382883610e+00","-1.382315017907330e+00","8.778121958575740e-01"
"-87.95","50.00","1.141086134505340e+00","1.261492227750560e+00","-1.369902234881410e+00","8.960837908868460e-01"
"-87.90","50.00","1.156684452515340e+00","1.246234421223660e+00","-1.357245932575480e+00","9.141988170245220e-01"
"-87.85","50.00","1.172090942022660e+00","1.230781277855070e+00","-1.344347945324540e+00","9.321540468641770e-01"
"-87.80","50.00","1.187303135001930e+00","1.215135144048790e+00","-1.331210149951300e+00","9.499462734191650e-01"
"-87.75","50.00","1.202318591885590e+00","1.199298397719830e+00","-1.317834465547470e+00","9.675723106804620e-01"
"-87.70","50.00","1.217134901971630e+00","1.183273447947920e+00","-1.304222853247780e+00","9.850289941721559e-01"
"-87.65","50.00","1.231749683827100e+00","1.167062734625940e+00","-1.290377315996590e+00","1.002313181504640e+00"
"-87.60","50.00","1.246160585687380e+00","1.150668728102980e+00","-1.276299898307250e+00","1.019421752925280e+00"
"-87.55","50.00","1.260365285850900e+00","1.134093928822150e+00","-1.261992686014200e+00","1.036351611866630e+00"
"-87.50","50.00","1.274361493069560e+00","1.117340866953180e+00","-1.247457806017780e+00","1.053099685491890e+00"
"-87.45","50.00","1.288146946934450e+00","1.100412102019920e+00","-1.232697426021870e+00","1.069662925237710e+00"
"-87.40","50.00","1.301719418257080e+00","1.083310222522670e+00","-1.217713754264290e+00","1.086038307354090e+00"
"-87.35","50.00","1.315076709445850e+00","1.066037845555550e+00","-1.202509039240070e+00","1.102222833441320e+00"
"-87.30","50.00","1.328216654877830e+00","1.048597616418870e+00","-1.187085569417630e+00","1.118213530983980e+00"
"-87.25","50.00","1.341137121265680e+00","1.030992208226540e+00","-1.171445672947770e+00","1.134007453881750e+00"
"-87.20","50.00","1.353836008019740e+00","1.013224321508730e+00","-1.155591717365660e+00","1.149601682976970e+00"
"-87.15","50.00","1.366311247605140e+00","9.952966838096440e-01","-1.139526109285840e+00","1.164993326578920e+00"
"-87.10","50.00","1.378560805893890e+00","9.772120492806070e-01","-1.123251294090140e+00","1.180179520984680e+00"
"-87.05","50.00","1.390582682511950e+00","9.589731982684940e-01","-1.106769755608730e+00","1.195157430996480e+00"
"-87.00","50.00","1.402374911181100e+00","9.405829368995040e-01","-1.090084015794200e+00","1.209924250435440e+00"
"-86.95","50.00","1.413935560055670e+00","9.220440966585099e-01","-1.073196634388850e+00","1.224477202651630e+00"
"-86.90","50.00","1.425262732053950e+00","9.033595339637930e-01","-1.056110208585000e+00","1.238813541030320e+00"
"-86.85","50.00","1.436354565184350e+00","8.845321297374830e-01","-1.038827372678710e+00","1.252930549494400e+00"
"-86.80","50.00","1.447209232866110e+00","8.655647889716430e-01","-1.021350797716610e+00","1.266825543002760e+00"
"-86.75","50.00","1.457824944244600e+00","8.464604402900510e-01","-1.003683191136070e+00","1.280495868044660e+00"
