"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","4.00","1.861716424267360e+00","2.389095326293310e+00","-1.369954754546390e+00","4.374887831400970e-01"
"-89.95","4.00","1.886305539798730e+00","2.372006196716680e+00","-1.362039610472480e+00","4.554685410809460e-01"
"-89.90","4.00","1.910718468041930e+00","2.354654078891590e+00","-1.353888503151930e+00","4.733405275425190e-01"
"-89.85","4.00","1.934952251247510e+00","2.337040981314040e+00","-1.345502731930110e+00","4.911016709852900e-01"
"-89.80","4.00","1.959003956092400e+00","2.319168947514840e+00","-1.336883635894850e+00","5.087489145117760e-01"
"-89.75","4.00","1.982870674114640e+00","2.301040055751500e+00","-1.328032593718450e+00","5.262792163805881e-01"
"-89.70","4.00","2.006549522144100e+00","2.282656418694600e+00","-1.318951023493050e+00","5.436895505187460e-01"
"-89.65","4.00","2.030037642729200e+00","2.264020183108470e+00","-1.309640382559230e+00","5.609769070322980e-01"
"-89.60","4.00","2.053332204559490e+00","2.245133529526520e+00","-1.300102167328090e+00","5.781382927151060e-01"
"-89.55","4.00","2.076430402884000e+00","2.225998671920990e+00","-1.290337913096600e+00","5.951707315557230e-01"
"-89.50","4.00","2.099329459925390e+00","2.206617857367400e+00","-1.280349193856350e+00","6.120712652422770e-01"
"-89.45","4.00","2.122026625289740e+00","2.186993365703560e+00","-1.270137622095770e+00","6.288369536652670e-01"
"-89.40","4.00","2.144519176371840e+00","2.167127509183480e+00","-1.259704848595690e+00","6.454648754181540e-01"
"-89.35","4.00","2.166804418756160e+00","2.147022632125800e+00","-1.249052562218430e+00","6.619521282957560e-01"
"-89.30","4.00","2.188879686613130e+00","2.126681110557310e+00","-1.238182489690350e+00","6.782958297902290e-01"
"-89.25","4.00","2.210742343090880e+00","2.106105351851190e+00","-1.227096395377840e+00","6.944931175846760e-01"
"-89.20","4.00","2.232389780702240e+00","2.085297794360340e+00","-1.215796081057010e+00","7.105411500441660e-01"
"-89.15","4.00","2.253819421707010e+00","2.064260907045600e+00","-1.204283385676690e+00","7.264371067042400e-01"
"-89.10","4.00","2.275028718489480e+00","2.042997189099140e+00","-1.192560185115260e+00","7.421781887566380e-01"
"-89.05","4.00","2.296015153930880e+00","2.021509169563000e+00","-1.180628391930970e+00","7.577616195323140e-01"
"-89.00","4.00","2.316776241777060e+00","1.999799406942810e+00","-1.168489955105960e+00","7.731846449815450e-01"
"-88.95","4.00","2.337309527001120e+00","1.977870488816750e+00","-1.156146859783900e+00","7.884445341511460e-01"
"-88.90","4.00","2.357612586160840e+00","1.955725031439970e+00","-1.143601127001450e+00","8.035385796586200e-01"
"-88.85","4.00","2.377683027751150e+00","1.933365679344270e+00","-1.130854813413400e+00","8.184640981632040e-01"
"-88.80","4.00","2.397518492551230e+00","1.910795104933430e+00","-1.117910011011640e+00","8.332184308337101e-01"
"-88.75","4.00","2.417116653966520e+00","1.888016008073920e+00","-1.104768846837890e+00","8.477989438131440e-01"
"-88.70","4.00","2.436475218365230e+00","1.865031115681330e+00","-1.091433482690430e+00","8.622030286798920e-01"
"-88.65","4.00","2.455591925409630e+00","1.841843181302470e+00","-1.077906114824560e+00","8.764281029055090e-01"
"-88.60","4.00","2.474464548381810e+00","1.818454984693200e+00","-1.064188973647200e+00","8.904716103089760e-01"
"-88.55","4.00","2.493090894503950e+00","1.794869331392180e+00","-1.050284323405280e+00","9.043310215073460e-01"
"-88.50","4.00","2.511468805253120e+00","1.771089052290350e+00","-1.036194461868330e+00","9.180038343627320e-01"
"-88.45","4.00","2.529596156670420e+00","1.747117003196580e+00","-1.021921720005050e+00","9.314875744254930e-01"
"-88.40","4.00","2.547470859664420e+00","1.722956064399310e+00","-1.007468461654030e+00","9.447797953736060e-01"
"-88.35","4.00","2.565090860308990e+00","1.698609140224190e+00","-9.928370831886160e-01","9.578780794481190e-01"
"-88.30","4.00","2.582454140135330e+00","1.674079158588170e+00","-9.780300131760570e-01","9.707800378845740e-01"
"-88.25","4.00","2.599558716418180e+00","1.649369070549630e+00","-9.630497120307920e-01","9.834833113404010e-01"
"-88.20","4.00","2.616402642456160e+00","1.624481849855030e+00","-9.478986716621820e-01","9.959855703181040e-01"
"-88.15","4.00","2.632984007846280e+00","1.599420492481910e+00","-9.325794151165080e-01","1.008284515584260e+00"
"-88.10","4.00","2.649300938752380e+00","1.574188016178450e+00","-9.170944962134180e-01","1.020377878584210e+00"
"-88.05","4.00","2.665351598167660e+00","1.548787459999620e+00","-9.014464991768720e-01","1.032263421852300e+00"
"-88.00","4.00","2.681134186171160e+00","1.523221883839980e+00","-8.856380382605290e-01","1.043938939417780e+00"
"-87.95","4.00","2.696646940178110e+00","1.497494367963230e+00","-8.696717573677650e-01","1.055402257206110e+00"
"-87.90","4.00","2.711888135184160e+00","1.471608012528620e+00","-8.535503296663230e-01","1.066651233435630e+00"
"-87.85","4.00","2.726856084003480e+00","1.445565937114270e+00","-8.372764571975960e-01","1.077683759009630e+00"
"-87.80","4.00","2.741549137500560e+00","1.419371280237560e+00","-8.208528704807470e-01","1.088497757903610e+00"
"-87.75","4.00","2.755965684815900e+00","1.393027198872410e+00","-8.042823281115000e-01","1.099091187547770e+00"
"-87.70","4.00","2.770104153585240e+00","1.366536867963920e+00","-7.875676163559220e-01","1.109462039204590e+00"
"-87.65","4.00","2.783963010152590e+00","1.339903479940170e+00","-7.707115487390330e-01","1.119608338341460e+00"
"-87.60","4.00","2.797540759776810e+00","1.313130244221390e+00","-7.537169656284560e-01","1.129528144998230e+00"
"-87.55","4.00","2.810835946831880e+00","1.286220386726530e+00","-7.365867338130830e-01","1.139219554149790e+00"
"-87.50","4.00","2.823847155000660e+00","1.259177149377290e+00","-7.193237460768530e-01","1.148680696063360e+00"
"-87.45","4.00","2.836573007462220e+00","1.232003789599830e+00","-7.019309207677010e-01","1.157909736650620e+00"
"-87.40","4.00","2.849012167072640e+00","1.204703579824090e+00","-6.844112013617580e-01","1.166904877814530e+00"
"-87.35","4.00","2.861163336539370e+00","1.177279806980920e+00","-6.667675560228450e-01","1.175664357790800e+00"
"-87.30","4.00","2.873025258588890e+00","1.149735771997030e+00","-6.490029771573440e-01","1.184186451483930e+00"
"-87.25","4.00","2.884596716127960e+00","1.122074789287820e+00","-6.311204809644700e-01","1.192469470797750e+00"
"-87.20","4.00","2.895876532398090e+00","1.094300186248390e+00","-6.131231069821090e-01","1.200511764960470e+00"
"-87.15","4.00","2.906863571123500e+00","1.066415302742510e+00","-5.950139176282030e-01","1.208311720844020e+00"
"-87.10","4.00","2.917556736652350e+00","1.038423490589870e+00","-5.767959977377510e-01","1.215867763277860e+00"
"-87.05","4.00","2.927954974091330e+00","1.010328113051630e+00","-5.584724540955990e-01","1.223178355356900e+00"
"-87.00","4.00","2.938057269433500e+00","9.821325443142480e-01","-5.400464149649270e-01","1.230241998743800e+00"
"-86.95","4.00","2.947862649679430e+00","9.538401689719890e-01","-5.215210296117090e-01","1.237057233965240e+00"
"-86.90","4.00","2.957370182951630e+00","9.254543815077040e-01","-5.028994678249850e-01","1.243622640702510e+00"
"-86.85","4.00","2.966578978602120e+00","8.969785857725150e-01","-4.841849194332410e-01","1.249936838075930e+00"
"-86.80","4.00","2.975488187313320e+00","8.684161944641160e-01","-4.653805938168320e-01","1.255998484923380e+00"
"-86.75","4.00","2.984097001192100e+00","8.397706286039320e-01","-4.464897194165730e-01","1.261806280072750e+00"
"-86.70","4.00","2.992404653857000e+00","8.110453170131620e-01","-4.275155432385600e-01","1.267358962608220e+00"
"-86.65","4.00","3.000410420518660e+00","7.822436957878950e-01","-4.084613303553130e-01","1.272655312130450e+00"
"-86.60","4.00","3.008113618053420e+00","7.533692077732790e-01","-3.893303634033050e-01","1.277694149010450e+00"
"-86.55","4.00","3.015513605070020e+00","7.244253020369720e-01","-3.701259420770020e-01","1.282474334637250e+00"
"-86.50","4.00","3.022609781969510e+00","6.954154333416970e-01","-3.508513826193700e-01","1.286994771659270e+00"
"-86.45","4.00","3.029401590998230e+00","6.663430616173780e-01","-3.315100173090990e-01","1.291254404219210e+00"
"-86.40","4.00","3.035888516294010e+00","6.372116514326061e-01","-3.121051939444810e-01","1.295252218182630e+00"
"-86.35","4.00","3.042070083925380e+00","6.080246714657620e-01","-2.926402753241320e-01","1.298987241360030e+00"
"-86.30","4.00","3.047945861923950e+00","5.787855939757000e-01","-2.731186387245430e-01","1.302458543722430e+00"
"-86.25","4.00","3.053515460309980e+00","5.494978942722250e-01","-2.535436753746040e-01","1.305665237610380e+00"
"-86.20","4.00","3.058778531110910e+00","5.201650501864060e-01","-2.339187899271790e-01","1.308606477936430e+00"
"-86.15","4.00","3.063734768373130e+00","4.907905415408330e-01","-2.142473999278180e-01","1.311281462380860e+00"
"-86.10","4.00","3.068383908166790e+00","4.613778496197990e-01","-1.945329352806340e-01","1.313689431580890e+00"
"-86.05","4.00","3.072725728583780e+00","4.319304566397590e-01","-1.747788377115330e-01","1.315829669313030e+00"
"-86.00","4.00","3.076760049728770e+00","4.024518452197990e-01","-1.549885602287730e-01","1.317701502668760e+00"
"-85.95","4.00","3.080486733703400e+00","3.729454978525770e-01","-1.351655665810340e-01","1.319304302223410e+00"
"-85.90","4.00","3.083905684583610e+00","3.434148963755140e-01","-1.153133307130010e-01","1.320637482198180e+00"
"-85.85","4.00","3.087016848390090e+00","3.138635214425180e-01","-9.543533621861490e-02","1.321700500615350e+00"
"-85.80","4.00","3.089820213051840e+00","2.842948519963300e-01","-7.553507579207550e-02","1.322492859446540e+00"
"-85.75","4.00","3.092315808362960e+00","2.547123647414320e-01","-5.561605067659390e-02","1.323014104754120e+00"
"-85.70","4.00","3.094503705932510e+00","2.251195336177380e-01","-3.568177011109900e-02","1.323263826825580e+00"
"-85.65","4.00","3.096384019127600e+00","1.955198292751650e-01","-1.573575077493860e-02","1.323241660300950e+00"
"-85.60","4.00","3.097956903009660e+00","1.659167185491000e-01","4.218483769358200e-03","1.322947284293220e+00"
"-85.55","4.00","3.099222554263890e+00","1.363136639369530e-01","2.417740363508970e-02","1.322380422501700e+00"
"-85.50","4.00","3.100181211121930e+00","1.067141230756870e-01","4.413747317222870e-02","1.321540843318260e+00"
"-85.45","4.00","3.100833153277790e+00","7.712154822069610e-02","6.409515152980511e-02","1.320428359926570e+00"
"-85.40","4.00","3.101178701797000e+00","4.753938572590880e-02","8.404689321990000e-02","1.319042830394150e+00"
"-85.35","4.00","3.101218219019030e+00","1.797107552528080e-02","1.039891486831030e-01","1.317384157757270e+00"
"-85.30","4.00","3.100952108453010e+00","-1.157994938417420e-02","1.239183648552830e-01","1.315452290098730e+00"
"-85.25","4.00","3.100380814666770e+00","-4.111026345795150e-02","1.438309857357310e-01","1.313247220618410e+00"
"-85.20","4.00","3.099504823169170e+00","-7.061644911779739e-02","1.637234529564120e-01","1.310768987696620e+00"
"-85.15","4.00","3.098324660285880e+00","-1.000950972637640e-01","1.835922063523240e-01","1.308017674950270e+00"
"-85.10","4.00","3.096840893028410e+00","-1.295428077845180e-01","2.034336845328920e-01","1.304993411281710e+00"
"-85.05","4.00","3.095054128956660e+00","-1.589561900656100e-01","2.232443254542030e-01","1.301696370920400e+00"
"-85.00","4.00","3.092965016034890e+00","-1.883318634958340e-01","2.430205669921340e-01","1.298126773457250e+00"
"-84.95","4.00","3.090574242481070e+00","-2.176664579714490e-01","2.627588475161450e-01","1.294284883871690e+00"
"-84.90","4.00","3.087882536609850e+00","-2.469566143982110e-01","2.824556064636830e-01","1.290171012551460e+00"
