"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","86.00","-8.390427500222240e-02","5.511074176435860e-01","-1.556512137938860e+00","-4.206637224970890e-01"
"-89.95","86.00","-7.239323708236139e-02","5.457364718026110e-01","-1.558572714504350e+00","-4.003535258316130e-01"
"-89.90","86.00","-6.098062975652580e-02","5.401824863289680e-01","-1.560369958950300e+00","-3.800316514318250e-01"
"-89.85","86.00","-4.966905841327410e-02","5.344467672594660e-01","-1.561903702765960e+00","-3.597014796691010e-01"
"-89.80","86.00","-3.846111289007760e-02","5.285306558826710e-01","-1.563173820540910e+00","-3.393663947144830e-01"
"-89.75","86.00","-2.735936700565140e-02","5.224355285610600e-01","-1.564180230043320e+00","-3.190297839897300e-01"
"-89.70","86.00","-1.636637809432640e-02","5.161627965469680e-01","-1.564922892291200e+00","-2.986950376170440e-01"
"-89.65","86.00","-5.484686542491900e-03","5.097139057923800e-01","-1.565401811616500e+00","-2.783655478673870e-01"
"-89.60","86.00","5.283184672760200e-03","5.030903367525590e-01","-1.565617035722270e+00","-2.580447086075780e-01"
"-89.55","86.00","1.593473044272960e-02","4.962936041835750e-01","-1.565568655732620e+00","-2.377359147462230e-01"
"-89.50","86.00","2.646746398389390e-02","4.893252569337000e-01","-1.565256806235650e+00","-2.174425616785490e-01"
"-89.45","86.00","3.687891729222420e-02","4.821868777287810e-01","-1.564681665319160e+00","-1.971680447303060e-01"
"-89.40","86.00","4.716664159501470e-02","4.748800829515300e-01","-1.563843454599300e+00","-1.769157586007850e-01"
"-89.35","86.00","5.732820780012740e-02","4.674065224148430e-01","-1.562742439241990e+00","-1.566890968049870e-01"
"-89.30","86.00","6.736120694255809e-02","4.597678791291050e-01","-1.561378927977150e+00","-1.364914511151880e-01"
"-89.25","86.00","7.726325062827211e-02","4.519658690635620e-01","-1.559753273105800e+00","-1.163262110017950e-01"
"-89.20","86.00","8.703197147517830e-02","4.440022409017910e-01","-1.557865870499860e+00","-9.619676307382180e-02"
"-89.15","86.00","9.666502355123489e-02","4.358787757912660e-01","-1.555717159594790e+00","-7.610649051879520e-02"
"-89.10","86.00","1.061600828095470e-01","4.275972870870850e-01","-1.553307623374960e+00","-5.605877254246980e-02"
"-89.05","86.00","1.155148475203870e-01","4.191596200899080e-01","-1.550637788351780e+00","-3.605698380826970e-02"
"-89.00","86.00","1.247270387001010e-01","4.105676517780810e-01","-1.547708224534590e+00","-1.610449387657900e-02"
"-88.95","86.00","1.337944005367650e-01","4.018232905340730e-01","-1.544519545394290e+00","3.795333355985700e-03"
"-88.90","86.00","1.427147008125650e-01","3.929284758651800e-01","-1.541072407819670e+00","2.363914021724840e-02"
"-88.85","86.00","1.514857313227910e-01","3.838851781185970e-01","-1.537367512066510e+00","4.342357581998430e-02"
"-88.80","86.00","1.601053082913650e-01","3.746953981908730e-01","-1.533405601699380e+00","6.314529662216981e-02"
"-88.75","86.00","1.685712727828710e-01","3.653611672317900e-01","-1.529187463526170e+00","8.280096698696060e-02"
"-88.70","86.00","1.768814911109670e-01","3.558845463427150e-01","-1.524713927525340e+00","1.023872597421410e-01"
"-88.65","86.00","1.850338552431140e-01","3.462676262694770e-01","-1.519985866765900e+00","1.219008567390940e-01"
"-88.60","86.00","1.930262832015620e-01","3.365125270898010e-01","-1.515004197320110e+00","1.413384494110960e-01"
"-88.55","86.00","2.008567194605010e-01","3.266213978953670e-01","-1.509769878168900e+00","1.606967393309420e-01"
"-88.50","86.00","2.085231353393370e-01","3.165964164684960e-01","-1.504283911100020e+00","1.799724387677210e-01"
"-88.45","86.00","2.160235293919760e-01","3.064397889535680e-01","-1.498547340598960e+00","1.991622712426480e-01"
"-88.40","86.00","2.233559277920650e-01","2.961537495231950e-01","-1.492561253732550e+00","2.182629720839240e-01"
"-88.35","86.00","2.305183847141390e-01","2.857405600391820e-01","-1.486326780025390e+00","2.372712889804810e-01"
"-88.30","86.00","2.375089827105660e-01","2.752025097083760e-01","-1.479845091328970e+00","2.561839825344810e-01"
"-88.25","86.00","2.443258330842550e-01","2.645419147333910e-01","-1.473117401683600e+00","2.749978268125860e-01"
"-88.20","86.00","2.509670762570220e-01","2.537611179583170e-01","-1.466144967173120e+00","2.937096098957500e-01"
"-88.15","86.00","2.574308821335950e-01","2.428624885094490e-01","-1.458929085772410e+00","3.123161344276030e-01"
"-88.10","86.00","2.637154504611250e-01","2.318484214310890e-01","-1.451471097187670e+00","3.308142181611920e-01"
"-88.05","86.00","2.698190111841960e-01","2.207213373164690e-01","-1.443772382689630e+00","3.492006945040310e-01"
"-88.00","86.00","2.757398247952500e-01","2.094836819338700e-01","-1.435834364939460e+00","3.674724130614420e-01"
"-87.95","86.00","2.814761826803280e-01","1.981379258479740e-01","-1.427658507807630e+00","3.856262401779590e-01"
"-87.90","86.00","2.870264074601150e-01","1.866865640365550e-01","-1.419246316185710e+00","4.036590594768020e-01"
"-87.85","86.00","2.923888533261910e-01","1.751321155024790e-01","-1.410599335790890e+00","4.215677723972730e-01"
"-87.80","86.00","2.975619063724170e-01","1.634771228811910e-01","-1.401719152963630e+00","4.393492987299750e-01"
"-87.75","86.00","3.025439849214470e-01","1.517241520436360e-01","-1.392607394458140e+00","4.570005771498580e-01"
"-87.70","86.00","3.073335398462320e-01","1.398757916947780e-01","-1.383265727225820e+00","4.745185657468470e-01"
"-87.65","86.00","3.119290548865140e-01","1.279346529676710e-01","-1.373695858191770e+00","4.919002425540610e-01"
"-87.60","86.00","3.163290469602080e-01","1.159033690132800e-01","-1.363899534024320e+00","5.091426060734960e-01"
"-87.55","86.00","3.205320664696480e-01","1.037845945859910e-01","-1.353878540897510e+00","5.262426757991000e-01"
"-87.50","86.00","3.245366976026160e-01","9.158100562494850e-02","-1.343634704246800e+00","5.431974927371320e-01"
"-87.45","86.00","3.283415586281040e-01","7.929529883126470e-02","-1.333169888517820e+00","5.600041199236870e-01"
"-87.40","86.00","3.319453021867450e-01","6.693019124117670e-02","-1.322485996908230e+00","5.766596429393630e-01"
"-87.35","86.00","3.353466155758790e-01","5.448841979519900e-02","-1.311584971102830e+00","5.931611704208810e-01"
"-87.30","86.00","3.385442210291640e-01","4.197274090340030e-02","-1.300468791001900e+00","6.095058345696910e-01"
"-87.25","86.00","3.415368759907210e-01","2.938593000674970e-02","-1.289139474442670e+00","6.256907916573540e-01"
"-87.20","86.00","3.443233733837220e-01","1.673078113476540e-02","-1.277599076914220e+00","6.417132225276910e-01"
"-87.15","86.00","3.469025418733880e-01","4.010106459406000e-03","-1.265849691265640e+00","6.575703330955350e-01"
"-87.10","86.00","3.492732461243410e-01","-8.773264154655600e-03","-1.253893447407540e+00","6.732593548421140e-01"
"-87.05","86.00","3.514343870522680e-01","-2.161648360332190e-02","-1.241732512007010e+00","6.887775453068210e-01"
"-87.00","86.00","3.533849020698410e-01","-3.451668799988410e-02","-1.229369088176000e+00","7.041221885754390e-01"
"-86.95","86.00","3.551237653268310e-01","-4.747099713518120e-02","-1.216805415153210e+00","7.192905957645760e-01"
"-86.90","86.00","3.566499879444030e-01","-6.047651494117320e-02","-1.204043767979520e+00","7.342801055024010e-01"
"-86.85","86.00","3.579626182435160e-01","-7.353032995775501e-02","-1.191086457166930e+00","7.490880844054210e-01"
"-86.80","86.00","3.590607419673850e-01","-8.662951580272740e-02","-1.177935828361290e+00","7.637119275513120e-01"
"-86.75","86.00","3.599434824979860e-01","-9.977113164493920e-02","-1.164594261998520e+00","7.781490589477060e-01"
"-86.70","86.00","3.606100010665320e-01","-1.129522226804160e-01","-1.151064172954690e+00","7.923969319968400e-01"
"-86.65","86.00","3.610594969578850e-01","-1.261698206114880e-01","-1.137348010189830e+00","8.064530299559590e-01"
"-86.60","86.00","3.612912077088820e-01","-1.394209441287670e-01","-1.123448256385550e+00","8.203148663934420e-01"
"-86.55","86.00","3.613044093005040e-01","-1.527025993959220e-01","-1.109367427576570e+00","8.339799856404750e-01"
"-86.50","86.00","3.610984163438760e-01","-1.660117805372110e-01","-1.095108072776170e+00","8.474459632383590e-01"
