"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","45.00","4.838665468825910e-01","1.816985275157800e+00","-1.685817234023380e+00","1.550387906404030e-01"
"-89.95","45.00","5.058759326992220e-01","1.810477881385820e+00","-1.683107862034980e+00","1.770320993585400e-01"
"-89.90","45.00","5.278063749290380e-01","1.803702207465360e+00","-1.680114649062810e+00","1.989967236340370e-01"
"-89.85","45.00","5.496545750749300e-01","1.796659158511910e+00","-1.676837765416750e+00","2.209290468650320e-01"
"-89.80","45.00","5.714172446182120e-01","1.789349680689290e+00","-1.673277427104000e+00","2.428254513365000e-01"
"-89.75","45.00","5.930911055373500e-01","1.781774761103520e+00","-1.669433895889530e+00","2.646823187963420e-01"
"-89.70","45.00","6.146728908254659e-01","1.773935427690030e+00","-1.665307479349250e+00","2.864960310327490e-01"
"-89.65","45.00","6.361593450067650e-01","1.765832749094190e+00","-1.660898530915750e+00","3.082629704529300e-01"
"-89.60","45.00","6.575472246516630e-01","1.757467834545200e+00","-1.656207449916850e+00","3.299795206630050e-01"
"-89.55","45.00","6.788332988906040e-01","1.748841833723350e+00","-1.651234681606680e+00","3.516420670490120e-01"
"-89.50","45.00","7.000143499264520e-01","1.739955936620670e+00","-1.645980717189430e+00","3.732469973589380e-01"
"-89.45","45.00","7.210871735453430e-01","1.730811373394900e+00","-1.640446093835670e+00","3.947907022856520e-01"
"-89.40","45.00","7.420485796259310e-01","1.721409414217000e+00","-1.634631394691290e+00","4.162695760506250e-01"
"-89.35","45.00","7.628953926470020e-01","1.711751369111950e+00","-1.628537248878920e+00","4.376800169884600e-01"
"-89.30","45.00","7.836244521932320e-01","1.701838587793100e+00","-1.622164331491960e+00","4.590184281319420e-01"
"-89.25","45.00","8.042326134591680e-01","1.691672459489880e+00","-1.615513363581100e+00","4.802812177977450e-01"
"-89.20","45.00","8.247167477511600e-01","1.681254412769120e+00","-1.608585112133390e+00","5.014648001724210e-01"
"-89.15","45.00","8.450737429873900e-01","1.670585915349750e+00","-1.601380390043720e+00","5.225655958989061e-01"
"-89.10","45.00","8.653005041956640e-01","1.659668473911100e+00","-1.593900056078870e+00","5.435800326631220e-01"
"-89.05","45.00","8.853939540090520e-01","1.648503633894760e+00","-1.586145014834010e+00","5.645045457807970e-01"
"-89.00","45.00","9.053510331592310e-01","1.637092979299990e+00","-1.578116216681650e+00","5.853355787843100e-01"
"-88.95","45.00","9.251687009674801e-01","1.625438132472710e+00","-1.569814657713010e+00","6.060695840095101e-01"
"-88.90","45.00","9.448439358331570e-01","1.613540753888180e+00","-1.561241379671930e+00","6.267030231823660e-01"
"-88.85","45.00","9.643737357196980e-01","1.601402541927320e+00","-1.552397469881130e+00","6.472323680053730e-01"
"-88.80","45.00","9.837551186379030e-01","1.589025232646700e+00","-1.543284061160970e+00","6.676541007435890e-01"
"-88.75","45.00","1.002985123126630e+00","1.576410599542280e+00","-1.533902331740600e+00","6.879647148103190e-01"
"-88.70","45.00","1.022060808730600e+00","1.563560453306840e+00","-1.524253505161580e+00","7.081607153521520e-01"
"-88.65","45.00","1.040979256475340e+00","1.550476641581340e+00","-1.514338850173870e+00","7.282386198334180e-01"
"-88.60","45.00","1.059737569339210e+00","1.537161048699900e+00","-1.504159680624370e+00","7.481949586198861e-01"
"-88.55","45.00","1.078332872722310e+00","1.523615595428850e+00","-1.493717355337740e+00","7.680262755616259e-01"
"-88.50","45.00","1.096762314912390e+00","1.509842238699480e+00","-1.483013277989770e+00","7.877291285749630e-01"
"-88.45","45.00","1.115023067547410e+00","1.495842971334850e+00","-1.472048896973160e+00","8.073000902233520e-01"
"-88.40","45.00","1.133112326074900e+00","1.481619821770530e+00","-1.460825705255750e+00","8.267357482971210e-01"
"-88.35","45.00","1.151027310207980e+00","1.467174853769330e+00","-1.449345240231160e+00","8.460327063920440e-01"
"-88.30","45.00","1.168765264377820e+00","1.452510166130130e+00","-1.437609083562000e+00","8.651875844864810e-01"
"-88.25","45.00","1.186323458182720e+00","1.437627892390730e+00","-1.425618861015400e+00","8.841970195171910e-01"
"-88.20","45.00","1.203699186833470e+00","1.422530200524910e+00","-1.413376242291210e+00","9.030576659535120e-01"
"-88.15","45.00","1.220889771595090e+00","1.407219292633630e+00","-1.400882940842510e+00","9.217661963700010e-01"
"-88.10","45.00","1.237892560224810e+00","1.391697404630420e+00","-1.388140713688770e+00","9.403193020173040e-01"
"-88.05","45.00","1.254704927406170e+00","1.375966805921170e+00","-1.375151361221470e+00","9.587136933911500e-01"
"-88.00","45.00","1.271324275179260e+00","1.360029799078100e+00","-1.361916727002280e+00","9.769461007995320e-01"
"-87.95","45.00","1.287748033366950e+00","1.343888719508130e+00","-1.348438697553800e+00","9.950132749277750e-01"
"-87.90","45.00","1.303973659997040e+00","1.327545935115740e+00","-1.334719202142860e+00","1.012911987401500e+00"
"-87.85","45.00","1.319998641720340e+00","1.311003845960190e+00","-1.320760212556440e+00","1.030639031347380e+00"
"-87.80","45.00","1.335820494224380e+00","1.294264883907390e+00","-1.306563742870260e+00","1.048191221951550e+00"
"-87.75","45.00","1.351436762643070e+00","1.277331512276170e+00","-1.292131849209870e+00","1.065565397015650e+00"
"-87.70","45.00","1.366845021961770e+00","1.260206225479370e+00","-1.277466629504600e+00","1.082758417510280e+00"
"-87.65","45.00","1.382042877418100e+00","1.242891548659410e+00","-1.262570223234020e+00","1.099767168125920e+00"
"-87.60","45.00","1.397027964898140e+00","1.225390037318780e+00","-1.247444811167260e+00","1.116588557821080e+00"
"-87.55","45.00","1.411797951328090e+00","1.207704276945220e+00","-1.232092615095040e+00","1.133219520367650e+00"
"-87.50","45.00","1.426350535061370e+00","1.189836882631700e+00","-1.216515897554420e+00","1.149657014893400e+00"
"-87.45","45.00","1.440683446260830e+00","1.171790498691450e+00","-1.200716961546420e+00","1.165898026421410e+00"
"-87.40","45.00","1.454794447276390e+00","1.153567798267870e+00","-1.184698150246530e+00","1.181939566406440e+00"
"-87.35","45.00","1.468681333017640e+00","1.135171482939430e+00","-1.168461846707950e+00","1.197778673268110e+00"
"-87.30","45.00","1.482341931321660e+00","1.116604282319770e+00","-1.152010473557900e+00","1.213412412920770e+00"
"-87.25","45.00","1.495774103315820e+00","1.097868953652820e+00","-1.135346492686770e+00","1.228837879300000e+00"
"-87.20","45.00","1.508975743775490e+00","1.078968281403240e+00","-1.118472404930290e+00","1.244052194885700e+00"
"-87.15","45.00","1.521944781476740e+00","1.059905076842130e+00","-1.101390749744770e+00","1.259052511221410e+00"
"-87.10","45.00","1.534679179543720e+00","1.040682177627950e+00","-1.084104104875290e+00","1.273836009430260e+00"
"-87.05","45.00","1.547176935790980e+00","1.021302447383050e+00","-1.066615086017120e+00","1.288399900726860e+00"
"-87.00","45.00","1.559436083060310e+00","1.001768775265520e+00","-1.048926346470180e+00","1.302741426925610e+00"
"-86.95","45.00","1.571454689552390e+00","9.820840755366580e-01","-1.031040576786830e+00","1.316857860944790e+00"
"-86.90","45.00","1.583230859152890e+00","9.622512871239940e-01","-1.012960504412680e+00","1.330746507306930e+00"
"-86.85","45.00","1.594762731753150e+00","9.422733731800470e-01","-9.946888933209140e-01","1.344404702634740e+00"
"-86.80","45.00","1.606048483565320e+00","9.221533206368260e-01","-9.762285436398130e-01","1.357829816143060e+00"
"-86.75","45.00","1.617086327431900e+00","9.018941397561060e-01","-9.575822912736620e-01","1.371019250126370e+00"
"-86.70","45.00","1.627874513129630e+00","8.814988636756350e-01","-9.387530075171230e-01","1.383970440441980e+00"
