"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","89.00","-1.180746168145390e-01","4.319477528458120e-01","-1.551891730515250e+00","-4.137773912275410e-01"
"-89.95","89.00","-1.076091539977170e-01","4.264272401119460e-01","-1.553834444507130e+00","-3.935447194184690e-01"
"-89.90","89.00","-9.724711709375400e-02","4.207328066642610e-01","-1.555514911318130e+00","-3.733021872658990e-01"
"-89.85","89.00","-8.699103066159050e-02","4.148658355239900e-01","-1.556932990238050e+00","-3.530531624777380e-01"
"-89.80","89.00","-7.684340268548891e-02","4.088277442219470e-01","-1.558088583538480e+00","-3.328010161377050e-01"
"-89.75","89.00","-6.680672411445600e-02","4.026199846074440e-01","-1.558981636544680e+00","-3.125491221570440e-01"
"-89.70","89.00","-5.688346840390750e-02","3.962440426510780e-01","-1.559612137700350e+00","-2.923008567249890e-01"
"-89.65","89.00","-4.707609105955980e-02","3.897014382414250e-01","-1.559980118625400e+00","-2.720595977579270e-01"
"-89.60","89.00","-3.738702918371100e-02","3.829937249756580e-01","-1.560085654166620e+00","-2.518287243474540e-01"
"-89.55","89.00","-2.781870102393320e-02","3.761224899441380e-01","-1.559928862441280e+00","-2.316116162073220e-01"
"-89.50","89.00","-1.837350552427220e-02","3.690893535089510e-01","-1.559509904873560e+00","-2.114116531194200e-01"
"-89.45","89.00","-9.053821879060000e-03","3.618959690764930e-01","-1.558828986223950e+00","-1.912322143789090e-01"
"-89.40","89.00","1.379909105984000e-04","3.545440228640920e-01","-1.557886354611350e+00","-1.710766782385720e-01"
"-89.35","89.00","9.199594477594700e-03","3.470352336606980e-01","-1.556682301528180e+00","-1.509484213524070e-01"
"-89.30","89.00","1.812867152673750e-02","3.393713525816910e-01","-1.555217161848170e+00","-1.308508182187130e-01"
"-89.25","89.00","2.692292626977320e-02","3.315541628178160e-01","-1.553491313827020e+00","-1.107872406225880e-01"
"-89.20","89.00","3.558008485739340e-02","3.235854793783280e-01","-1.551505179095860e+00","-9.076105707810470e-02"
"-89.15","89.00","4.409789580818810e-02","3.154671488283240e-01","-1.549259222647460e+00","-7.077563227005750e-02"
"-89.10","89.00","5.247413043444500e-02","3.072010490203290e-01","-1.546753952815260e+00","-5.083432649557560e-02"
"-89.05","89.00","6.070658326470430e-02","2.987890888202060e-01","-1.543989921245130e+00","-3.094049510559610e-02"
"-89.00","89.00","6.879307246303490e-02","2.902332078273360e-01","-1.540967722859930e+00","-1.109748794626840e-02"
"-88.95","89.00","7.673144024490861e-02","2.815353760892380e-01","-1.537687995816760e+00","8.691351199573800e-03"
"-88.90","89.00","8.451955328963250e-02","2.726975938105420e-01","-1.534151421457030e+00","2.842268517075580e-02"
"-88.85","89.00","9.215530314923420e-02","2.637218910564590e-01","-1.530358724249230e+00","4.809318398587840e-02"
"-88.80","89.00","9.963660665373940e-02","2.546103274507210e-01","-1.526310671724490e+00","6.769952540105210e-02"
"-88.75","89.00","1.069614063127890e-01","2.453649918680910e-01","-1.522008074404840e+00","8.723839546726950e-02"
"-88.70","89.00","1.141276707134770e-01","2.359880021214310e-01","-1.517451785724230e+00","1.067064890871560e-01"
"-88.65","89.00","1.211333949143590e-01","2.264815046434290e-01","-1.512642701942300e+00","1.261005105711260e-01"
"-88.60","89.00","1.279766008355800e-01","2.168476741629990e-01","-1.507581762050930e+00","1.454171741928030e-01"
"-88.55","89.00","1.346553376449970e-01","2.070887133764360e-01","-1.502269947673470e+00","1.646532047436210e-01"
"-88.50","89.00","1.411676821402860e-01","1.972068526133080e-01","-1.496708282956830e+00","1.838053380865130e-01"
"-88.45","89.00","1.475117391269170e-01","1.872043494972140e-01","-1.490897834456250e+00","2.028703217085770e-01"
"-88.40","89.00","1.536856417919350e-01","1.770834886014220e-01","-1.484839711012880e+00","2.218449152726070e-01"
"-88.35","89.00","1.596875520735070e-01","1.668465810994420e-01","-1.478535063624170e+00","2.407258911674870e-01"
"-88.30","89.00","1.655156610261180e-01","1.564959644105890e-01","-1.471985085307020e+00","2.595100350571900e-01"
"-88.25","89.00","1.711681891813970e-01","1.460340018405800e-01","-1.465191010953750e+00","2.781941464284890e-01"
"-88.20","89.00","1.766433869044680e-01","1.354630822172470e-01","-1.458154117180920e+00","2.967750391370590e-01"
"-88.15","89.00","1.819395347457780e-01","1.247856195213970e-01","-1.450875722170920e+00","3.152495419521070e-01"
"-88.10","89.00","1.870549437883320e-01","1.140040525128980e-01","-1.443357185506490e+00","3.336144990992440e-01"
"-88.05","89.00","1.919879559902640e-01","1.031208443520310e-01","-1.435599907998050e+00","3.518667708015840e-01"
"-88.00","89.00","1.967369445227010e-01","9.213848221616090e-02","-1.427605331503980e+00","3.700032338190340e-01"
"-87.95","89.00","2.013003141028170e-01","8.105947691180700e-02","-1.419374938743720e+00","3.880207819855500e-01"
"-87.90","89.00","2.056765013220600e-01","6.988636248219179e-02","-1.410910253103890e+00","4.059163267443820e-01"
"-87.85","89.00","2.098639749694480e-01","5.862169581025070e-02","-1.402212838437320e+00","4.236867976811350e-01"
"-87.80","89.00","2.138612363499040e-01","4.726805621728100e-02","-1.393284298855040e+00","4.413291430545700e-01"
"-87.75","89.00","2.176668195975560e-01","3.582804505716610e-02","-1.384126278511300e+00","4.588403303251390e-01"
"-87.70","89.00","2.212792919839360e-01","2.430428530636560e-02","-1.374740461381600e+00","4.762173466810100e-01"
"-87.65","89.00","2.246972542210380e-01","1.269942114962430e-02","-1.365128571033810e+00","4.934571995615890e-01"
"-87.60","89.00","2.279193407591590e-01","1.016117561552800e-03","-1.355292370392270e+00","5.105569171784280e-01"
"-87.55","89.00","2.309442200794670e-01","-1.074294011590620e-02","-1.345233661495160e+00","5.275135490334220e-01"
"-87.50","89.00","2.337705949812580e-01","-2.257504660004160e-02","-1.334954285244870e+00","5.443241664342100e-01"
"-87.45","89.00","2.363972028638340e-01","-3.447747709789520e-02","-1.324456121151620e+00","5.609858630066590e-01"
"-87.40","89.00","2.388228160029280e-01","-4.644748774068020e-02","-1.313741087070270e+00","5.774957552043890e-01"
"-87.35","89.00","2.410462418216700e-01","-5.848231602202060e-02","-1.302811138930370e+00","5.938509828151770e-01"
"-87.30","89.00","2.430663231559820e-01","-7.057918123991980e-02","-1.291668270459540e+00","6.100487094642590e-01"
"-87.25","89.00","2.448819385144200e-01","-8.273528494247460e-02","-1.280314512900040e+00","6.260861231143240e-01"
"-87.20","89.00","2.464920023323390e-01","-9.494781137711890e-02","-1.268751934718880e+00","6.419604365621820e-01"
"-87.15","89.00","2.478954652203850e-01","-1.072139279434600e-01","-1.256982641311150e+00","6.576688879319720e-01"
"-87.10","89.00","2.490913142072360e-01","-1.195307856495510e-01","-1.245008774696910e+00","6.732087411648950e-01"
"-87.05","89.00","2.500785729765650e-01","-1.318955195715560e-01","-1.232832513211500e+00","6.885772865052801e-01"
"-87.00","89.00","2.508563020981640e-01","-1.443052493167550e-01","-1.220456071189350e+00","7.037718409829939e-01"
"-86.95","89.00","2.514235992531820e-01","-1.567570794897300e-01","-1.207881698641480e+00","7.187897488920070e-01"
"-86.90","89.00","2.517795994534340e-01","-1.692481001617760e-01","-1.195111680926430e+00","7.336283822651770e-01"
"-86.85","89.00","2.519234752547560e-01","-1.817753873433700e-01","-1.182148338415020e+00","7.482851413449790e-01"
"-86.80","89.00","2.518544369643280e-01","-1.943360034596310e-01","-1.168994026148680e+00","7.627574550502380e-01"
"-86.75","89.00","2.515717328419530e-01","-2.069269978287480e-01","-1.155651133491670e+00","7.770427814387300e-01"
"-86.70","89.00","2.510746492952390e-01","-2.195454071432240e-01","-1.142122083776970e+00","7.911386081655590e-01"
"-86.65","89.00","2.503625110686350e-01","-2.321882559539320e-01","-1.128409333946130e+00","8.050424529372490e-01"
"-86.60","89.00","2.494346814263110e-01","-2.448525571568280e-01","-1.114515374183020e+00","8.187518639614370e-01"
"-86.55","89.00","2.482905623288160e-01","-2.575353124822880e-01","-1.100442727541490e+00","8.322644203921000e-01"
"-86.50","89.00","2.469295946034750e-01","-2.702335129869940e-01","-1.086193949567090e+00","8.455777327702920e-01"
"-86.45","89.00","2.453512581085260e-01","-2.829441395482590e-01","-1.071771627912860e+00","8.586894434601799e-01"
"-86.40","89.00","2.435550718909210e-01","-2.956641633607220e-01","-1.057178381949280e+00","8.715972270804310e-01"
"-86.35","89.00","2.415405943377820e-01","-3.083905464353290e-01","-1.042416862368360e+00","8.842987909307690e-01"
"-86.30","89.00","2.393074233214680e-01","-3.211202421005050e-01","-1.027489750782030e+00","8.967918754137190e-01"
"-86.25","89.00","2.368551963382270e-01","-3.338501955055060e-01","-1.012399759314790e+00","9.090742544513750e-01"
"-86.20","89.00","2.341835906404080e-01","-3.465773441257330e-01","-9.971496301908050e-01","9.211437358971540e-01"
"-86.15","89.00","2.312923233621970e-01","-3.592986182700490e-01","-9.817421353153530e-01","9.329981619424600e-01"
"-86.10","89.00","2.281811516388350e-01","-3.720109415899540e-01","-9.661800758508420e-01","9.446354095181840e-01"
"-86.05","89.00","2.248498727193320e-01","-3.847112315905330e-01","-9.504662817873610e-01","9.560533906909400e-01"
"-86.00","89.00","2.212983240726050e-01","-3.973964001431400e-01","-9.346036115078440e-01","9.672500530540050e-01"
"-85.95","89.00","2.175263834870530e-01","-4.100633539996490e-01","-9.185949513479810e-01","9.782233801128380e-01"
"-85.90","89.00","2.135339691635100e-01","-4.227089953082740e-01","-9.024432151508260e-01","9.889713916651710e-01"
"-85.85","89.00","2.093210398015860e-01","-4.353302221308090e-01","-8.861513438162980e-01","9.994921441755270e-01"
"-85.80","89.00","2.048875946793740e-01","-4.479239289612200e-01","-8.697223048455690e-01","1.009783731144150e+00"
"-85.75","89.00","2.002336737264600e-01","-4.604870072455490e-01","-8.531590918803950e-01","1.019844283470250e+00"
"-85.70","89.00","1.953593575902670e-01","-4.730163459029470e-01","-8.364647242375139e-01","1.029671969809520e+00"
"-85.65","89.00","1.902647676957090e-01","-4.855088318478220e-01","-8.196422464381800e-01","1.039264996925830e+00"
"-85.60","89.00","1.849500662980880e-01","-4.979613505130180e-01","-8.026947277328490e-01","1.048621610037030e+00"
"-85.55","89.00","1.794154565293130e-01","-5.103707863738680e-01","-7.856252616211900e-01","1.057740093154790e+00"
"-85.50","89.00","1.736611824373100e-01","-5.227340234731310e-01","-7.684369653673360e-01","1.066618769418520e+00"
"-85.45","89.00","1.676875290187200e-01","-5.350479459466240e-01","-7.511329795106700e-01","1.075256001423060e+00"
"-85.40","89.00","1.614948222447940e-01","-5.473094385495459e-01","-7.337164673720190e-01","1.083650191540420e+00"
"-85.35","89.00","1.550834290805200e-01","-5.595153871833510e-01","-7.161906145554510e-01","1.091799782235150e+00"
"-85.30","89.00","1.484537574969670e-01","-5.716626794230950e-01","-6.985586284457550e-01","1.099703256373520e+00"
"-85.25","89.00","1.416062564767870e-01","-5.837482050451830e-01","-6.808237377015730e-01","1.107359137526420e+00"
"-85.20","89.00","1.345414160129630e-01","-5.957688565554170e-01","-6.629891917444120e-01","1.114765990265840e+00"
"-85.15","89.00","1.272597671007080e-01","-6.077215297172450e-01","-6.450582602435370e-01","1.121922420454830e+00"
"-85.10","89.00","1.197618817225560e-01","-6.196031240801430e-01","-6.270342325968020e-01","1.128827075531160e+00"
"-85.05","89.00","1.120483728266410e-01","-6.314105435079930e-01","-6.089204174075969e-01","1.135478644784200e+00"
"-85.00","89.00","1.041198942981270e-01","-6.431406967074830e-01","-5.907201419578720e-01","1.141875859625420e+00"
"-84.95","89.00","9.597714092385000e-02","-6.547904977562700e-01","-5.724367516774360e-01","1.148017493852030e+00"
"-84.90","89.00","8.762084835010590e-02","-6.663568666309730e-01","-5.540736096095560e-01","1.153902363904020e+00"
"-84.85","89.00","7.905179303362500e-02","-6.778367297347950e-01","-5.356340958729350e-01","1.159529329114470e+00"
"-84.80","89.00","7.027079218573570e-02","-6.892270204247650e-01","-5.171216071202011e-01","1.164897291952910e+00"
"-84.75","89.00","6.127870370968700e-02","-7.005246795384670e-01","-4.985395559929300e-01","1.170005198261940e+00"
"-84.70","89.00","5.207642613120160e-02","-7.117266559201580e-01","-4.798913705733930e-01","1.174852037486900e+00"
"-84.65","89.00","4.266489852216700e-02","-7.228299069462160e-01","-4.611804938329710e-01","1.179436842898580e+00"
"-84.60","89.00","3.304510041758110e-02","-7.338313990498340e-01","-4.424103830774520e-01","1.183758691808900e+00"
"-84.55","89.00","2.321805172568260e-02","-7.447281082448099e-01","-4.235845093892800e-01","1.187816705779610e+00"
"-84.50","89.00","1.318481263130170e-02","-7.555170206484370e-01","-4.047063570667670e-01","1.191610050823810e+00"
"-84.45","89.00","2.946483492445500e-03","-7.661951330033060e-01","-3.857794230604440e-01","1.195137937600460e+00"
"-84.40","89.00","-7.495795269870400e-03","-7.767594531980210e-01","-3.668072164066210e-01","1.198399621601530e+00"
"-84.35","89.00","-1.814084328853850e-02","-7.872070007866760e-01","-3.477932576582160e-01","1.201394403332160e+00"
"-84.30","89.00","-2.898744037398580e-02","-7.975348075070300e-01","-3.287410783130140e-01","1.204121628483370e+00"
"-84.25","89.00","-4.003432664455690e-02","-8.077399177972850e-01","-3.096542202393470e-01","1.206580688097630e+00"
"-84.20","89.00","-5.128020266354670e-02","-8.178193893114020e-01","-2.905362350994000e-01","1.208771018726970e+00"
"-84.15","89.00","-6.272372958294190e-02","-8.277702934328310e-01","-2.713906837701540e-01","1.210692102583850e+00"
"-84.10","89.00","-7.436352929379450e-02","-8.375897157865890e-01","-2.522211357621350e-01","1.212343467684570e+00"
"-84.05","89.00","-8.619818458326160e-02","-8.472747567495730e-01","-2.330311686359700e-01","1.213724687985240e+00"
"-84.00","89.00","-9.822623929825110e-02","-8.568225319590960e-01","-2.138243674169330e-01","1.214835383510360e+00"
"-83.95","89.00","-1.104461985156600e-01","-8.662301728194520e-01","-1.946043240075350e-01","1.215675220473830e+00"
"-83.90","89.00","-1.228565287191730e-01","-8.754948270065050e-01","-1.753746365982700e-01","1.216243911392520e+00"
"-83.85","89.00","-1.354556579826290e-01","-8.846136589701590e-01","-1.561389090766040e-01","1.216541215192230e+00"
"-83.80","89.00","-1.482419761598890e-01","-8.935838504346960e-01","-1.369007504343100e-01","1.216566937306120e+00"
"-83.75","89.00","-1.612138350812140e-01","-9.024026008968210e-01","-1.176637741732310e-01","1.216320929765540e+00"
"-83.70","89.00","-1.743695487560700e-01","-9.110671281213590e-01","-9.843159770962560e-02","1.215803091283250e+00"
"-83.65","89.00","-1.877073935824170e-01","-9.195746686345420e-01","-7.920784177709600e-02","1.215013367328960e+00"
"-83.60","89.00","-2.012256085623690e-01","-9.279224782147431e-01","-5.999612982830720e-02","1.213951750197240e+00"
"-83.55","89.00","-2.149223955242050e-01","-9.361078323806540e-01","-4.080008743554190e-02","1.212618279067800e+00"
"-83.50","89.00","-2.287959193507830e-01","-9.441280268767600e-01","-2.162334169013640e-02","1.211013040057930e+00"
"-83.45","89.00","-2.428443082141960e-01","-9.519803781560290e-01","-2.469520601028700e-03","1.209136166267390e+00"
"-83.40","89.00","-2.570656538167300e-01","-9.596622238597819e-01","1.665774750759490e-02","1.206987837815480e+00"
"-83.35","89.00","-2.714580116380490e-01","-9.671709232946180e-01","3.575483459941580e-02","1.204568281870310e+00"
"-83.30","89.00","-2.860194011885380e-01","-9.745038579063250e-01","5.481811352970200e-02","1.201877772670480e+00"
"-83.25","89.00","-3.007478062688880e-01","-9.816584317506980e-01","7.384395864968479e-02","1.198916631538830e+00"
"-83.20","89.00","-3.156411752357050e-01","-9.886320719611740e-01","9.282874641130670e-02","1.195685226888470e+00"
"-83.15","89.00","-3.306974212732600e-01","-9.954222292132400e-01","1.117688559723660e-01","1.192183974221050e+00"
