"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","47.00","4.360523200354970e-01","1.768998176742940e+00","-1.677243062139330e+00","1.167985528938780e-01"
"-89.95","47.00","4.576872590753440e-01","1.762859617677040e+00","-1.674950799292760e+00","1.386890379716730e-01"
"-89.90","47.00","4.792465329055510e-01","1.756455612433170e+00","-1.672375994630440e+00","1.605555260464010e-01"
"-89.85","47.00","5.007268646603760e-01","1.749787030846440e+00","-1.669518764317440e+00","1.823944175428640e-01"
"-89.80","47.00","5.221249870147400e-01","1.742854783621610e+00","-1.666379269986020e+00","2.042021111312310e-01"
"-89.75","47.00","5.434376427011990e-01","1.735659822232800e+00","-1.662957718803790e+00","2.259750042999400e-01"
"-89.70","47.00","5.646615850257920e-01","1.728203138816550e+00","-1.659254363534680e+00","2.477094939299550e-01"
"-89.65","47.00","5.857935783828760e-01","1.720485766058120e+00","-1.655269502592640e+00","2.694019768705010e-01"
"-89.60","47.00","6.068303987687400e-01","1.712508777071360e+00","-1.651003480088020e+00","2.910488505160350e-01"
"-89.55","47.00","6.277688342940040e-01","1.704273285271780e+00","-1.646456685866640e+00","3.126465133844620e-01"
"-89.50","47.00","6.486056856946520e-01","1.695780444243110e+00","-1.641629555541500e+00","3.341913656964570e-01"
"-89.45","47.00","6.693377668416211e-01","1.687031447597240e+00","-1.636522570517170e+00","3.556798099557730e-01"
"-89.40","47.00","6.899619052488600e-01","1.678027528827600e+00","-1.631136258006750e+00","3.771082515304680e-01"
"-89.35","47.00","7.104749425798310e-01","1.668769961155960e+00","-1.625471191041460e+00","3.984730992350250e-01"
"-89.30","47.00","7.308737351522490e-01","1.659260057372710e+00","-1.619527988472740e+00","4.197707659130880e-01"
"-89.25","47.00","7.511551544411120e-01","1.649499169670560e+00","-1.613307314967010e+00","4.409976690209680e-01"
"-89.20","47.00","7.713160875797700e-01","1.639488689471800e+00","-1.606809880992890e+00","4.621502312115310e-01"
"-89.15","47.00","7.913534378591730e-01","1.629230047249050e+00","-1.600036442800970e+00","4.832248809186990e-01"
"-89.10","47.00","8.112641252249611e-01","1.618724712339530e+00","-1.592987802396110e+00","5.042180529421580e-01"
"-89.05","47.00","8.310450867724850e-01","1.607974192752910e+00","-1.585664807502200e+00","5.251261890323800e-01"
"-89.00","47.00","8.506932772396180e-01","1.596980034972730e+00","-1.578068351519510e+00","5.459457384757900e-01"
"-88.95","47.00","8.702056694972790e-01","1.585743823751430e+00","-1.570199373474360e+00","5.666731586799830e-01"
"-88.90","47.00","8.895792550375540e-01","1.574267181899060e+00","-1.562058857961430e+00","5.873049157589090e-01"
"-88.85","47.00","9.088110444593940e-01","1.562551770065540e+00","-1.553647835078400e+00","6.078374851178920e-01"
"-88.80","47.00","9.278980679516901e-01","1.550599286516770e+00","-1.544967380353170e+00","6.282673520384120e-01"
"-88.75","47.00","9.468373757738460e-01","1.538411466904300e+00","-1.536018614663410e+00","6.485910122626120e-01"
"-88.70","47.00","9.656260387335250e-01","1.525990084028880e+00","-1.526802704148670e+00","6.688049725772860e-01"
"-88.65","47.00","9.842611486616520e-01","1.513336947597720e+00","-1.517320860114860e+00","6.889057513973840e-01"
"-88.60","47.00","1.002739818884520e+00","1.500453903975590e+00","-1.507574338931240e+00","7.088898793488700e-01"
"-88.55","47.00","1.021059184692950e+00","1.487342835929810e+00","-1.497564441919840e+00","7.287538998508430e-01"
"-88.50","47.00","1.039216403808420e+00","1.474005662369010e+00","-1.487292515237280e+00","7.484943696968700e-01"
"-88.45","47.00","1.057208656846050e+00","1.460444338075980e+00","-1.476759949749110e+00","7.681078596353290e-01"
"-88.40","47.00","1.075033147774380e+00","1.446660853434350e+00","-1.465968180896610e+00","7.875909549487590e-01"
"-88.35","47.00","1.092687104371890e+00","1.432657234149320e+00","-1.454918688555980e+00","8.069402560321129e-01"
"-88.30","47.00","1.110167778680110e+00","1.418435540962450e+00","-1.443612996890110e+00","8.261523789697029e-01"
"-88.25","47.00","1.127472447453380e+00","1.403997869360480e+00","-1.432052674192730e+00","8.452239561109370e-01"
"-88.20","47.00","1.144598412604950e+00","1.389346349278300e+00","-1.420239332725110e+00","8.641516366445120e-01"
"-88.15","47.00","1.161543001649620e+00","1.374483144796130e+00","-1.408174628545250e+00","8.829320871711910e-01"
"-88.10","47.00","1.178303568142630e+00","1.359410453830800e+00","-1.395860261329560e+00","9.015619922749040e-01"
"-88.05","47.00","1.194877492114750e+00","1.344130507821430e+00","-1.383297974187100e+00","9.200380550921030e-01"
"-88.00","47.00","1.211262180503650e+00","1.328645571409270e+00","-1.370489553466350e+00","9.383569978793950e-01"
"-87.95","47.00","1.227455067581270e+00","1.312957942112000e+00","-1.357436828554530e+00","9.565155625791710e-01"
"-87.90","47.00","1.243453615377290e+00","1.297069949992360e+00","-1.344141671669500e+00","9.745105113832609e-01"
"-87.85","47.00","1.259255314098410e+00","1.280983957321230e+00","-1.330605997644240e+00","9.923386272944710e-01"
"-87.80","47.00","1.274857682543650e+00","1.264702358235300e+00","-1.316831763704030e+00","1.009996714685880e+00"
"-87.75","47.00","1.290258268515320e+00","1.248227578389140e+00","-1.302820969236130e+00","1.027481599857880e+00"
"-87.70","47.00","1.305454649225830e+00","1.231562074601970e+00","-1.288575655552210e+00","1.044790131592820e+00"
"-87.65","47.00","1.320444431700000e+00","1.214708334499070e+00","-1.274097905643470e+00","1.061919181707020e+00"
"-87.60","47.00","1.335225253173080e+00","1.197668876147900e+00","-1.259389843928440e+00","1.078865645600350e+00"
"-87.55","47.00","1.349794781484200e+00","1.180446247688970e+00","-1.244453635993500e+00","1.095626442803020e+00"
"-87.50","47.00","1.364150715465300e+00","1.163043026961510e+00","-1.229291488326200e+00","1.112198517519560e+00"
