"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","5.00","1.833041528040640e+00","2.387888259282830e+00","-1.395823208180000e+00","4.431629225146880e-01"
"-89.95","5.00","1.857731946466770e+00","2.370944886691710e+00","-1.387891083823310e+00","4.614657900771100e-01"
"-89.90","5.00","1.882246957073750e+00","2.353736272636500e+00","-1.379718997598030e+00","4.796612374183340e-01"
"-89.85","5.00","1.906583566362810e+00","2.336264418600360e+00","-1.371308237977070e+00","4.977461439111470e-01"
"-89.80","5.00","1.930738805146720e+00","2.318531361603190e+00","-1.362660133776650e+00","5.157174033562870e-01"
"-89.75","5.00","1.954709728991360e+00","2.300539173895680e+00","-1.353776054002000e+00","5.335719245038800e-01"
"-89.70","5.00","1.978493418653040e+00","2.282289962647690e+00","-1.344657407686220e+00","5.513066315731820e-01"
"-89.65","5.00","2.002086980512080e+00","2.263785869630930e+00","-1.335305643722460e+00","5.689184647706740e-01"
"-89.60","5.00","2.025487547002070e+00","2.245029070896150e+00","-1.325722250689280e+00","5.864043808064030e-01"
"-89.55","5.00","2.048692277035190e+00","2.226021776444640e+00","-1.315908756669340e+00","6.037613534084530e-01"
"-89.50","5.00","2.071698356423130e+00","2.206766229894360e+00","-1.305866729061330e+00","6.209863738354870e-01"
"-89.45","5.00","2.094502998293790e+00","2.187264708140650e+00","-1.295597774385270e+00","6.380764513872400e-01"
"-89.40","5.00","2.117103443503530e+00","2.167519521011500e+00","-1.285103538081090e+00","6.550286139128690e-01"
"-89.35","5.00","2.139496961045060e+00","2.147533010917530e+00","-1.274385704300620e+00","6.718399083171650e-01"
"-89.30","5.00","2.161680848450740e+00","2.127307552496760e+00","-1.263445995692920e+00","6.885074010643720e-01"
"-89.25","5.00","2.183652432191300e+00","2.106845552254090e+00","-1.252286173183020e+00","7.050281786797160e-01"
"-89.20","5.00","2.205409068069890e+00","2.086149448195810e+00","-1.240908035744130e+00","7.213993482483620e-01"
"-89.15","5.00","2.226948141611450e+00","2.065221709458810e+00","-1.229313420163290e+00","7.376180379119250e-01"
"-89.10","5.00","2.248267068447250e+00","2.044064835934960e+00","-1.217504200800460e+00","7.536813973622341e-01"
"-89.05","5.00","2.269363294694500e+00","2.022681357890510e+00","-1.205482289341220e+00","7.695865983324190e-01"
"-89.00","5.00","2.290234297331180e+00","2.001073835580530e+00","-1.193249634542960e+00","7.853308350851610e-01"
"-88.95","5.00","2.310877584565720e+00","1.979244858858610e+00","-1.180808221974660e+00","8.009113248980571e-01"
"-88.90","5.00","2.331290696201740e+00","1.957197046781760e+00","-1.168160073750290e+00","8.163253085459770e-01"
"-88.85","5.00","2.351471203997590e+00","1.934933047210660e+00","-1.155307248255870e+00","8.315700507803510e-01"
"-88.80","5.00","2.371416712020720e+00","1.912455536405300e+00","-1.142251839870210e+00","8.466428408052830e-01"
"-88.75","5.00","2.391124856996860e+00","1.889767218615990e+00","-1.128995978679370e+00","8.615409927504830e-01"
"-88.70","5.00","2.410593308653820e+00","1.866870825670000e+00","-1.115541830184850e+00","8.762618461407919e-01"
"-88.65","5.00","2.429819770059980e+00","1.843769116553700e+00","-1.101891595005660e+00","8.908027663623540e-01"
"-88.60","5.00","2.448801977957290e+00","1.820464876990480e+00","-1.088047508574130e+00","9.051611451252710e-01"
"-88.55","5.00","2.467537703088860e+00","1.796960919014210e+00","-1.074011840825700e+00","9.193344009226940e-01"
"-88.50","5.00","2.486024750520990e+00","1.773260080538720e+00","-1.059786895882510e+00","9.333199794862640e-01"
"-88.45","5.00","2.504260959959560e+00","1.749365224923010e+00","-1.045375011731120e+00","9.471153542377960e-01"
"-88.40","5.00","2.522244206060830e+00","1.725279240532510e+00","-1.030778559894070e+00","9.607180267371600e-01"
"-88.35","5.00","2.539972398736530e+00","1.701005040296270e+00","-1.015999945095600e+00","9.741255271262750e-01"
"-88.30","5.00","2.557443483453130e+00","1.676545561260380e+00","-1.001041604921510e+00","9.873354145690940e-01"
"-88.25","5.00","2.574655441525400e+00","1.651903764137430e+00","-9.859060094730010e-01","1.000345277687570e+00"
"-88.20","5.00","2.591606290404010e+00","1.627082632852400e+00","-9.705956610149150e-01","1.013152734993450e+00"
"-88.15","5.00","2.608294083957350e+00","1.602085174084660e+00","-9.551130936181000e-01","1.025755435315890e+00"
"-88.10","5.00","2.624716912747270e+00","1.576914416806630e+00","-9.394608727961100e-01","1.038151058224770e+00"
